paragraph,stemmed,tokenized,stemmed_and_tokenized,posting_list,posting_list_tokenized,posting_list_stemmed
"Your and Other Insured Persons Responsibilities  22
Other Limitations On Your Coverage  22
Property Not Covered  22
Contamination of Property  22
Nuclear Hazards  23",your and other insur person respons 22 other limit on your coverag 22 properti not cover 22 contamin of properti 22 nuclear hazard 23,"your and Other Insured Persons Responsibilities   22 
 other limitation on your Coverage   22 
 property not cover   22 
 Contamination of Property   22 
 Nuclear Hazards   23",your and other insur person respon 22 other limit on your coverag 22 properti not cover 22 contamin of properti 22 nuclear hazard 23,"['22', '22', '22', '22', '23', 'Contamination', 'Coverage', 'Hazards', 'Insured', 'Nuclear', 'Other', 'Persons', 'Property', 'Responsibilities', 'and', 'cover', 'limitation', 'not', 'of', 'on', 'other', 'property', 'your', 'your']","['22', '22', '22', '22', '23', 'and', 'contamination', 'cover', 'coverage', 'hazards', 'insured', 'limitation', 'not', 'nuclear', 'of', 'on', 'other', 'other', 'persons', 'property', 'property', 'responsibilities', 'your', 'your']","['22', '22', '22', '22', '23', 'and', 'contamin', 'cover', 'coverag', 'hazard', 'insur', 'limit', 'not', 'nuclear', 'of', 'on', 'other', 'other', 'person', 'properti', 'properti', 'respons', 'your', 'your']"
"SECTION 4 ACCIDENT BENEFIT COVERAGE  24
Who is Covered  24
Types and Benefits  24
How to Apply for Benefits  26
Applying for Benefits  Procedures and Time Limits  26
Choosing Which Benefit to Receive  27",section 4 accid benefit coverag 24 who is cover 24 type and benefit 24 how to appli for benefit 26 appli for benefit procedur and time limit 26 choos which benefit to receiv 27,"section 4 accident benefit COVERAGE   24 
 who be cover   24 
 Types and Benefits   24 
 how to apply for Benefits   26 
 applying for Benefits   Procedures and Time Limits   26 
 choosing which benefit to receive   27",section 4 accid benefit coverag 24 who be cover 24 type and benefit 24 how to appli for benefit 26 appli for benefit procedur and time limit 26 choo which benefit to receiv 27,"['24', '24', '24', '26', '26', '27', '4', 'Benefits', 'Benefits', 'Benefits', 'COVERAGE', 'Limits', 'Procedures', 'Time', 'Types', 'accident', 'and', 'and', 'apply', 'applying', 'be', 'benefit', 'benefit', 'choosing', 'cover', 'for', 'for', 'how', 'receive', 'section', 'to', 'to', 'which', 'who']","['24', '24', '24', '26', '26', '27', '4', 'accident', 'and', 'and', 'apply', 'applying', 'be', 'benefit', 'benefit', 'benefits', 'benefits', 'benefits', 'choosing', 'cover', 'coverage', 'for', 'for', 'how', 'limits', 'procedures', 'receive', 'section', 'time', 'to', 'to', 'types', 'which', 'who']","['24', '24', '24', '26', '26', '27', '4', 'accid', 'and', 'and', 'appli', 'appli', 'benefit', 'benefit', 'benefit', 'benefit', 'benefit', 'choos', 'cover', 'coverag', 'for', 'for', 'how', 'is', 'limit', 'procedur', 'receiv', 'section', 'time', 'to', 'to', 'type', 'which', 'who']"
"Limitations on Your Coverage  27
SECTION 5 UNINSURED AUTOMOBILE COVERAGE 28
Introduction  28
Uninsured Automobile Coverage Schedule  28
What is an Uninsured Automobile  28
What is an Unidentified Automobile  28",limit on your coverag 27 section 5 uninsur automobil coverag 28 introduct 28 uninsur automobil coverag schedul 28 what is an uninsur automobil 28 what is an unidentifi automobil 28,"limitation on your Coverage   27 
 section 5 UNINSURED AUTOMOBILE COVERAGE 28 
 Introduction   28 
 Uninsured Automobile Coverage Schedule   28 
 what be an Uninsured Automobile   28 
 what be an Unidentified Automobile   28",limit on your coverag 27 section 5 uninsur automobil coverag 28 introduct 28 uninsur automobil coverag schedul 28 what be an uninsur automobil 28 what be an unidentifi automobil 28,"['27', '28', '28', '28', '28', '28', '5', 'AUTOMOBILE', 'Automobile', 'Automobile', 'Automobile', 'COVERAGE', 'Coverage', 'Coverage', 'Introduction', 'Schedule', 'UNINSURED', 'Unidentified', 'Uninsured', 'Uninsured', 'an', 'an', 'be', 'be', 'limitation', 'on', 'section', 'what', 'what', 'your']","['27', '28', '28', '28', '28', '28', '5', 'an', 'an', 'automobile', 'automobile', 'automobile', 'automobile', 'be', 'be', 'coverage', 'coverage', 'coverage', 'introduction', 'limitation', 'on', 'schedule', 'section', 'unidentified', 'uninsured', 'uninsured', 'uninsured', 'what', 'what', 'your']","['27', '28', '28', '28', '28', '28', '5', 'an', 'an', 'automobil', 'automobil', 'automobil', 'automobil', 'coverag', 'coverag', 'coverag', 'introduct', 'is', 'is', 'limit', 'on', 'schedul', 'section', 'unidentifi', 'uninsur', 'uninsur', 'uninsur', 'what', 'what', 'your']"
"What We Will Cover  28
Claims by You or Other Insured Persons for Bodily Injury  28
Claims by Others for Bodily Injury or Death  29
Claims for Certain Property Damage  29",what we will cover 28 claim by you or other insur person for bodili injuri 28 claim by other for bodili injuri or death 29 claim for certain properti damag 29,"what we will cover   28 
 claim by you or other Insured Persons for Bodily Injury   28 
 claim by other for Bodily Injury or Death   29 
 claim for Certain Property Damage   29",what we will cover 28 claim by you or other insur person for bodili injuri 28 claim by other for bodili injuri or death 29 claim for certain properti damag 29,"['28', '28', '29', '29', 'Bodily', 'Bodily', 'Certain', 'Damage', 'Death', 'Injury', 'Injury', 'Insured', 'Persons', 'Property', 'by', 'by', 'claim', 'claim', 'claim', 'cover', 'for', 'for', 'for', 'or', 'or', 'other', 'other', 'we', 'what', 'will', 'you']","['28', '28', '29', '29', 'bodily', 'bodily', 'by', 'by', 'certain', 'claim', 'claim', 'claim', 'cover', 'damage', 'death', 'for', 'for', 'for', 'injury', 'injury', 'insured', 'or', 'or', 'other', 'other', 'persons', 'property', 'we', 'what', 'will', 'you']","['28', '28', '29', '29', 'bodili', 'bodili', 'by', 'by', 'certain', 'claim', 'claim', 'claim', 'cover', 'damag', 'death', 'for', 'for', 'for', 'injuri', 'injuri', 'insur', 'or', 'or', 'other', 'other', 'person', 'properti', 'we', 'what', 'will', 'you']"
"Claims for Bodily Injury or Death  29
Who is Covered  29
Limitation on a Dependent Relative  30
If the Described Automobile is Leased or Rented  30
Conditions Applying to Claims for Bodily Injury or Death  30
Accidents Involving Unidentified Automobiles  30
Medical Examinations May Be Required 31",claim for bodili injuri or death 29 who is cover 29 limit on a depend relat 30 if the describ automobil is leas or rent 30 condit appli to claim for bodili injuri or death 30 accid involv unidentifi automobil 30 medic examin may be requir 31,"claim for Bodily Injury or Death   29 
 who be cover   29 
 Limitation on a Dependent Relative   30 
 if the describe automobile be lease or Rented   30 
 condition apply to claim for Bodily Injury or Death   30 
 Accidents involve Unidentified Automobiles   30 
 Medical Examinations may be require 31",claim for bodili injuri or death 29 who be cover 29 limit on a depend relat 30 if the describ automobil be lea or rent 30 condit appli to claim for bodili injuri or death 30 accid involv unidentifi automobil 30 medic examin may be requir 31,"['29', '29', '30', '30', '30', '30', '31', 'Accidents', 'Automobiles', 'Bodily', 'Bodily', 'Death', 'Death', 'Dependent', 'Examinations', 'Injury', 'Injury', 'Limitation', 'Medical', 'Relative', 'Rented', 'Unidentified', 'a', 'apply', 'automobile', 'be', 'be', 'be', 'claim', 'claim', 'condition', 'cover', 'describe', 'for', 'for', 'if', 'involve', 'lease', 'may', 'on', 'or', 'or', 'or', 'require', 'the', 'to', 'who']","['29', '29', '30', '30', '30', '30', '31', 'a', 'accidents', 'apply', 'automobile', 'automobiles', 'be', 'be', 'be', 'bodily', 'bodily', 'claim', 'claim', 'condition', 'cover', 'death', 'death', 'dependent', 'describe', 'examinations', 'for', 'for', 'if', 'injury', 'injury', 'involve', 'lease', 'limitation', 'may', 'medical', 'on', 'or', 'or', 'or', 'relative', 'rented', 'require', 'the', 'to', 'unidentified', 'who']","['29', '29', '30', '30', '30', '30', '31', 'a', 'accid', 'appli', 'automobil', 'automobil', 'be', 'bodili', 'bodili', 'claim', 'claim', 'condit', 'cover', 'death', 'death', 'depend', 'describ', 'examin', 'for', 'for', 'if', 'injuri', 'injuri', 'involv', 'is', 'is', 'leas', 'limit', 'may', 'medic', 'on', 'or', 'or', 'or', 'relat', 'rent', 'requir', 'the', 'to', 'unidentifi', 'who']"
"Claims for Property Damage  31
Who is Covered  31
Conditions Applying to Claims for Property Damage  31
Our Right to Repair Replace or Rebuild the Automobile  32
How Much We Will Pay  32",claim for properti damag 31 who is cover 31 condit appli to claim for properti damag 31 our right to repair replac or rebuild the automobil 32 how much we will pay 32,"claim for Property Damage   31 
 who be cover   31 
 condition apply to claim for Property Damage   31 
 our right to Repair Replace or rebuild the Automobile   32 
 how much we will pay   32",claim for properti damag 31 who be cover 31 condit appli to claim for properti damag 31 our right to repair replac or rebuild the automobil 32 how much we will pay 32,"['31', '31', '31', '32', '32', 'Automobile', 'Damage', 'Damage', 'Property', 'Property', 'Repair', 'Replace', 'apply', 'be', 'claim', 'claim', 'condition', 'cover', 'for', 'for', 'how', 'much', 'or', 'our', 'pay', 'rebuild', 'right', 'the', 'to', 'to', 'we', 'who', 'will']","['31', '31', '31', '32', '32', 'apply', 'automobile', 'be', 'claim', 'claim', 'condition', 'cover', 'damage', 'damage', 'for', 'for', 'how', 'much', 'or', 'our', 'pay', 'property', 'property', 'rebuild', 'repair', 'replace', 'right', 'the', 'to', 'to', 'we', 'who', 'will']","['31', '31', '31', '32', '32', 'appli', 'automobil', 'claim', 'claim', 'condit', 'cover', 'damag', 'damag', 'for', 'for', 'how', 'is', 'much', 'or', 'our', 'pay', 'properti', 'properti', 'rebuild', 'repair', 'replac', 'right', 'the', 'to', 'to', 'we', 'who', 'will']"
"Claims for Both Bodily Injury and Property Damage  32
Settling a Claim  33
By Agreement  33
By Arbitration  33
In Court  33",claim for both bodili injuri and properti damag 32 settl a claim 33 by agreement 33 by arbitr 33 in court 33,"claim for both Bodily Injury and Property Damage   32 
 settle a claim   33 
 by Agreement   33 
 by Arbitration   33 
 in Court   33",claim for both bodili injuri and properti damag 32 settl a claim 33 by agreement 33 by arbitr 33 in court 33,"['32', '33', '33', '33', '33', 'Agreement', 'Arbitration', 'Bodily', 'Court', 'Damage', 'Injury', 'Property', 'a', 'and', 'both', 'by', 'by', 'claim', 'claim', 'for', 'in', 'settle']","['32', '33', '33', '33', '33', 'a', 'agreement', 'and', 'arbitration', 'bodily', 'both', 'by', 'by', 'claim', 'claim', 'court', 'damage', 'for', 'in', 'injury', 'property', 'settle']","['32', '33', '33', '33', '33', 'a', 'agreement', 'and', 'arbitr', 'bodili', 'both', 'by', 'by', 'claim', 'claim', 'court', 'damag', 'for', 'in', 'injuri', 'properti', 'settl']"
"Limitations and Exceptions  33
Payment Limits  33
Limit Where More Than One Policy Applies  34",limit and except 33 payment limit 33 limit where more than one polici appli 34,"limitation and Exceptions   33 
 Payment Limits   33 
 Limit where More than one Policy Applies   34",limit and except 33 payment limit 33 limit where more than one polici appli 34,"['33', '33', '34', 'Applies', 'Exceptions', 'Limit', 'Limits', 'More', 'Payment', 'Policy', 'and', 'limitation', 'one', 'than', 'where']","['33', '33', '34', 'and', 'applies', 'exceptions', 'limit', 'limitation', 'limits', 'more', 'one', 'payment', 'policy', 'than', 'where']","['33', '33', '34', 'and', 'appli', 'except', 'limit', 'limit', 'limit', 'more', 'one', 'payment', 'polici', 'than', 'where']"
"If You or Other Insured Persons Start a Lawsuit  34
Send Us the Documents  34
If You or Other Insured Persons Win But Cant Recover Payment  34
Assignment of the Award  35",if you or other insur person start a lawsuit 34 send us the document 34 if you or other insur person win but cant recov payment 34 assign of the award 35,"if you or other Insured Persons start a Lawsuit   34 
 send we the Documents   34 
 if you or other Insured Persons win but can not recover Payment   34 
 Assignment of the Award   35",if you or other insur person start a lawsuit 34 send we the document 34 if you or other insur person win but can not recov payment 34 assign of the award 35,"['34', '34', '34', '35', 'Assignment', 'Award', 'Documents', 'Insured', 'Insured', 'Lawsuit', 'Payment', 'Persons', 'Persons', 'a', 'but', 'can', 'if', 'if', 'not', 'of', 'or', 'or', 'other', 'other', 'recover', 'send', 'start', 'the', 'the', 'we', 'win', 'you', 'you']","['34', '34', '34', '35', 'a', 'assignment', 'award', 'but', 'can', 'documents', 'if', 'if', 'insured', 'insured', 'lawsuit', 'not', 'of', 'or', 'or', 'other', 'other', 'payment', 'persons', 'persons', 'recover', 'send', 'start', 'the', 'the', 'we', 'win', 'you', 'you']","['34', '34', '34', '35', 'a', 'assign', 'award', 'but', 'cant', 'document', 'if', 'if', 'insur', 'insur', 'lawsuit', 'of', 'or', 'or', 'other', 'other', 'payment', 'person', 'person', 'recov', 'send', 'start', 'the', 'the', 'us', 'win', 'you', 'you']"
"Limitations on Legal Action  35
Conditions of This Policy Must be Met  35
Time Limits for Lawsuits for Loss or Damage  35
Time Limits for Lawsuits for Bodily Injury or Death  35",limit on legal action 35 condit of this polici must be met 35 time limit for lawsuit for loss or damag 35 time limit for lawsuit for bodili injuri or death 35,"limitation on Legal Action   35 
 condition of this policy must be Met   35 
 Time limit for lawsuit for Loss or Damage   35 
 Time limit for lawsuit for Bodily Injury or Death   35",limit on legal action 35 condit of this polici must be meet 35 time limit for lawsuit for loss or damag 35 time limit for lawsuit for bodili injuri or death 35,"['35', '35', '35', '35', 'Action', 'Bodily', 'Damage', 'Death', 'Injury', 'Legal', 'Loss', 'Met', 'Time', 'Time', 'be', 'condition', 'for', 'for', 'for', 'for', 'lawsuit', 'lawsuit', 'limit', 'limit', 'limitation', 'must', 'of', 'on', 'or', 'or', 'policy', 'this']","['35', '35', '35', '35', 'action', 'be', 'bodily', 'condition', 'damage', 'death', 'for', 'for', 'for', 'for', 'injury', 'lawsuit', 'lawsuit', 'legal', 'limit', 'limit', 'limitation', 'loss', 'met', 'must', 'of', 'on', 'or', 'or', 'policy', 'this', 'time', 'time']","['35', '35', '35', '35', 'action', 'be', 'bodili', 'condit', 'damag', 'death', 'for', 'for', 'for', 'for', 'injuri', 'lawsuit', 'lawsuit', 'legal', 'limit', 'limit', 'limit', 'loss', 'met', 'must', 'of', 'on', 'or', 'or', 'polici', 'this', 'time', 'time']"
