paragraph,stemmed,tokenized,stemmed_and_tokenized
"If the vehicle you acquire is in addition to
any shown in the Declarations it will have
the broadest coverage we now provide for
any vehicle shown in the Declarations",if the vehicl you acquir is in addit to ani shown in the declar it will have the broadest coverag we now provid for ani vehicl shown in the declar,"if the vehicle you acquire be in addition to 
 any show in the declaration it will have 
 the broad coverage we now provide for 
 any vehicle show in the declaration",if the vehicl you acquir be in addit to ani show in the declar it will have the broad coverag we now provid for ani vehicl show in the declar
"A We will pay damages for bodily injury
Coverage A or property damage Coverage
B for which any insured becomes legally
responsible because of an auto accident
Damages include prejudgment interest
awarded against the insured We will settle or
defend as we consider appropriate any claim
or suit asking for these damages In addition to
our limit of liability we will pay all defense
costs we incur Our duty to settle or defend
ends when our limit of liability for these
coverages has been exhausted We have no
duty to defend any suit or settle any claim for
bodily injury or property damage not
covered under this policy",a we will pay damag for bodili injuri coverag a or properti damag coverag b for which ani insur becom legal respons becaus of an auto accid damag includ prejudg interest award against the insur we will settl or defend as we consid appropri ani claim or suit ask for these damag in addit to our limit of liabil we will pay all defens cost we incur our duti to settl or defend end when our limit of liabil for these coverag has been exhaust we have no duti to defend ani suit or settl ani claim for bodili injuri or properti damag not cover under this polici,"a we will pay damage for bodily injury 
 Coverage A or property damage Coverage 
 B for which any insure become legally 
 responsible because of an auto accident 
 damage include prejudgment interest 
 award against the insured we will settle or 
 defend as we consider appropriate any claim 
 or suit ask for these damage in addition to 
 our limit of liability we will pay all defense 
 cost we incur our duty to settle or defend 
 end when our limit of liability for these 
 coverage have be exhaust we have no 
 duty to defend any suit or settle any claim for 
 bodily injury or property damage not 
 cover under this policy",a we will pay damag for bodili injuri coverag a or properti damag coverag b for which ani insur becom legal respon becaus of an auto accid damag includ prejudg interest award against the insur we will settl or defend as we consid appropri ani claim or suit ask for these damag in addit to our limit of liabil we will pay all defen cost we incur our duti to settl or defend end when our limit of liabil for these coverag have be exhaust we have no duti to defend ani suit or settl ani claim for bodili injuri or properti damag not cover under this polici
"In addition to our limit of liability we will pay on
behalf of an insured
1 Up to 250 for the cost of bail bonds required because of an accident including related traffic law violations The accident
must result in bodily injury or property
damage covered under this policy
2 Premiums on appeal bonds and bonds to
release attachments in any suit we defend
3 Interest accruing after a judgment is
entered in any suit we defend Our duty to
pay interest ends when we offer to pay that
part of the judgment which does not exceed our limit of liability for these
coverages",in addit to our limit of liabil we will pay on behalf of an insur 1 up to 250 for the cost of bail bond requir becaus of an accid includ relat traffic law violat the accid must result in bodili injuri or properti damag cover under this polici 2 premium on appeal bond and bond to releas attach in ani suit we defend 3 interest accru after a judgment is enter in ani suit we defend our duti to pay interest end when we offer to pay that part of the judgment which doe not exceed our limit of liabil for these coverag,"in addition to our limit of liability we will pay on 
 behalf of an insure 
 1 up to 250 for the cost of bail bond require because of an accident include related traffic law violation the accident 
 must result in bodily injury or property 
 damage cover under this policy 
 2 premium on appeal bond and bond to 
 release attachment in any suit we defend 
 3 interest accrue after a judgment be 
 enter in any suit we defend our duty to 
 pay interest end when we offer to pay that 
 part of the judgment which do not exceed our limit of liability for these 
 coverage",in addit to our limit of liabil we will pay on behalf of an insur 1 up to 250 for the cost of bail bond requir becaus of an accid includ relat traffic law violat the accid must result in bodili injuri or properti damag cover under this polici 2 premium on appeal bond and bond to releas attach in ani suit we defend 3 interest accru after a judgment be enter in ani suit we defend our duti to pay interest end when we offer to pay that part of the judgment which doe not exceed our limit of liabil for these coverag
"B Insured as used in these coverages means
1 You or any family member for the ownership maintenance or use of any auto or
trailer",b insur as use in these coverag mean 1 you or ani famili member for the ownership mainten or use of ani auto or trailer,"b insure as use in these coverage mean 
 1 you or any family member for the ownership maintenance or use of any auto or 
 trailer",b insur as use in these coverag mean 1 you or ani famili member for the ownership mainten or use of ani auto or trailer
"4 Up to 50 a day for loss of earnings but
not other income because of attendance at
hearings or trials at our request",4 up to 50 a day for loss of earn but not other incom becaus of attend at hear or trial at our request,"4 up to 50 a day for loss of earning but 
 not other income because of attendance at 
 hearing or trial at our request",4 up to 50 a day for loss of earn but not other incom becaus of attend at hear or trial at our request
"3 For your covered auto any person or organization but only with respect to legal
responsibility for acts or omissions of a person for whom coverage is afforded under
these Liability Coverages",3 for your cover auto ani person or organ but onli with respect to legal respons for act or omiss of a person for whom coverag is afford under these liabil coverag,"3 for your covered auto any person or organization but only with respect to legal 
 responsibility for act or omission of a person for whom coverage be afford under 
 these Liability Coverages",3 for your cover auto ani person or organ but onli with respect to legal respon for act or omiss of a person for whom coverag be afford under these liabil coverag
"4 For any auto or trailer other than your
covered auto any other person or organization but only with respect to legal
responsibility for acts or omissions of you
or any family member for whom coverage
is afforded under these Liability
Coverages This provision B4 applies
only if the person or organization does not
own or hire the auto or trailer",4 for ani auto or trailer other than your cover auto ani other person or organ but onli with respect to legal respons for act or omiss of you or ani famili member for whom coverag is afford under these liabil coverag this provis b4 appli onli if the person or organ doe not own or hire the auto or trailer,"4 for any auto or trailer other than your 
 covered auto any other person or organization but only with respect to legal 
 responsibility for act or omission of you 
 or any family member for whom coverage 
 be afford under these Liability 
 Coverages this provision b4 apply 
 only if the person or organization do not 
 own or hire the auto or trailer",4 for ani auto or trailer other than your cover auto ani other person or organ but onli with respect to legal respon for act or omiss of you or ani famili member for whom coverag be afford under these liabil coverag this provis b4 appli onli if the person or organ doe not own or hire the auto or trailer
"1 Who intentionally causes bodily injury or
property damage
2 For damage to property owned or being
transported by that person
3 For damage to property
a rented to
b used by or
c in the care of
that person",1 who intent caus bodili injuri or properti damag 2 for damag to properti own or be transport by that person 3 for damag to properti a rent to b use by or c in the care of that person,"1 who intentionally cause bodily injury or 
 property damage 
 2 for damage to property own or be 
 transport by that person 
 3 for damage to property 
 a rent to 
 b use by or 
 c in the care of 
 that person",1 who intent caus bodili injuri or properti damag 2 for damag to properti own or be transport by that person 3 for damag to properti a rent to b use by or c in the care of that person
"4 For bodily injury to an employee of that
person during the course of employment
This exclusion A4 does not apply to
bodily injury to a domestic employee unless workers compensation benefits are required or available for that domestic
employee
5 For that persons liability arising out of the
ownership or operation of a vehicle while it
is being used to carry persons or property
for a fee This exclusion A5 does not
apply to a sharetheexpense car pool",4 for bodili injuri to an employe of that person dure the cours of employ this exclus a4 doe not appli to bodili injuri to a domest employe unless worker compens benefit are requir or avail for that domest employe 5 for that person liabil aris out of the ownership or oper of a vehicl while it is be use to carri person or properti for a fee this exclus a5 doe not appli to a sharetheexpens car pool,"4 for bodily injury to an employee of that 
 person during the course of employment 
 this exclusion a4 do not apply to 
 bodily injury to a domestic employee unless worker compensation benefit be require or available for that domestic 
 employee 
 5 for that person liability arise out of the 
 ownership or operation of a vehicle while it 
 be be use to carry person or property 
 for a fee this exclusion a5 do not 
 apply to a sharetheexpense car pool",4 for bodili injuri to an employe of that person dure the cour of employ this exclus a4 doe not appli to bodili injuri to a domest employe unless worker compen benefit be requir or avail for that domest employe 5 for that person liabil aris out of the ownership or oper of a vehicl while it be be use to carri person or properti for a fee this exclus a5 doe not appli to a sharetheexpens car pool
"A nuclear energy liability policy is a policy
issued by any of the following or their successors
a American Nuclear Insurers
b Mutual Atomic Energy Liability Underwriters or
c Nuclear Insurance Association of
Canada
B We do not provide Liability Coverages for the
ownership maintenance or use of
1 Any motorized vehicle having fewer than
four wheels",a nuclear energi liabil polici is a polici issu by ani of the follow or their successor a american nuclear insur b mutual atom energi liabil underwrit or c nuclear insur associ of canada b we do not provid liabil coverag for the ownership mainten or use of 1 ani motor vehicl have fewer than four wheel,"a nuclear energy liability policy be a policy 
 issue by any of the follow or their successor 
 a American Nuclear Insurers 
 b Mutual Atomic Energy Liability Underwriters or 
 c Nuclear Insurance Association of 
 Canada 
 B we do not provide Liability Coverages for the 
 ownership maintenance or use of 
 1 any motorize vehicle have few than 
 four wheel",a nuclear energi liabil polici be a polici issu by ani of the follow or their successor a american nuclear insur b mutual atom energi liabil underwrit or c nuclear insur associ of canada b we do not provid liabil coverag for the ownership mainten or use of 1 ani motor vehicl have few than four wheel
"vehicles designed for use mainly on public
highways This includes road testing and
delivery This exclusion A6 does not
apply to the ownership maintenance or use
of your covered auto by",vehicl design for use main on public highway this includ road test and deliveri this exclus a6 doe not appli to the ownership mainten or use of your cover auto by,"vehicle design for use mainly on public 
 highway this include road testing and 
 delivery this exclusion A6 do not 
 apply to the ownership maintenance or use 
 of your covered auto by",vehicl design for use main on public highway this includ road test and deliveri this exclus a6 doe not appli to the ownership mainten or use of your cover auto by
"3 Any vehicle other than your covered
auto which is
a owned by any family member or
b furnished or available for the regular
use of any family member",3 ani vehicl other than your cover auto which is a own by ani famili member or b furnish or avail for the regular use of ani famili member,"3 any vehicle other than your cover 
 auto which be 
 a own by any family member or 
 b furnish or available for the regular 
 use of any family member",3 ani vehicl other than your cover auto which be a own by ani famili member or b furnish or avail for the regular use of ani famili member
"c any partner agent or employee of you
or any family member
7 Maintaining or using any vehicle while that
person is employed or otherwise engaged
in any business other than farming or
ranching not described in Exclusion A6
This exclusion A7 does not apply to the
maintenance or use of a",c ani partner agent or employe of you or ani famili member 7 maintain or use ani vehicl while that person is employ or otherwis engag in ani busi other than farm or ranch not describ in exclus a6 this exclus a7 doe not appli to the mainten or use of a,"c any partner agent or employee of you 
 or any family member 
 7 maintaining or use any vehicle while that 
 person be employ or otherwise engage 
 in any business other than farm or 
 ranch not describe in Exclusion A6 
 this exclusion a7 do not apply to the 
 maintenance or use of a",c ani partner agent or employe of you or ani famili member 7 maintain or use ani vehicl while that person be employ or otherwis engag in ani busi other than farm or ranch not describ in exclus a6 this exclus a7 doe not appli to the mainten or use of a
"a owned by a family member or
b furnished or available for the regular
use of a family member
LIMIT OF LIABILITY
A Single Liability Limit",a own by a famili member or b furnish or avail for the regular use of a famili member limit of liabil a singl liabil limit,"a own by a family member or 
 b furnish or available for the regular 
 use of a family member 
 LIMIT of LIABILITY 
 a Single Liability Limit",a own by a famili member or b furnish or avail for the regular use of a famili member limit of liabil a singl liabil limit
"a private passenger auto
b pickup or van that you own or
c trailer used with a vehicle described
in a or b above
8 Using a vehicle without a reasonable belief
that that person is entitled to do so
9 For bodily injury or property damage
for which that person",a privat passeng auto b pickup or van that you own or c trailer use with a vehicl describ in a or b abov 8 use a vehicl without a reason belief that that person is entitl to do so 9 for bodili injuri or properti damag for which that person,"a private passenger auto 
 b pickup or van that you own or 
 c trailer use with a vehicle describe 
 in a or b above 
 8 use a vehicle without a reasonable belief 
 that that person be entitle to do so 
 9 for bodily injury or property damage 
 for which that person",a privat passeng auto b pickup or van that you own or c trailer use with a vehicl describ in a or b abov 8 use a vehicl without a reason belief that that person be entitl to do so 9 for bodili injuri or properti damag for which that person
"1 If the Declarations show a single limit of
liability for Coverage A and Coverage B
combined this limit is our maximum limit
of liability for all damages for bodily injury and property damage resulting from
any one auto accident This is the most we
will pay regardless of the number of",1 if the declar show a singl limit of liabil for coverag a and coverag b combin this limit is our maximum limit of liabil for all damag for bodili injuri and properti damag result from ani one auto accid this is the most we will pay regardless of the number of,"1 if the Declarations show a single limit of 
 liability for Coverage A and Coverage B 
 combine this limit be our maximum limit 
 of liability for all damage for bodily injury and property damage result from 
 any one auto accident this be the most we 
 will pay regardless of the number of",1 if the declar show a singl limit of liabil for coverag a and coverag b combin this limit be our maximum limit of liabil for all damag for bodili injuri and properti damag result from ani one auto accid this be the most we will pay regardless of the number of
"d Vehicles involved in the auto accident
2 We will apply the limit of liability to provide any separate limits required by law for
bodily injury and property damage liability
However this provision A2 will not
change our total limit of liability
B Split Liability Limits",d vehicl involv in the auto accid 2 we will appli the limit of liabil to provid ani separ limit requir by law for bodili injuri and properti damag liabil howev this provis a2 will not chang our total limit of liabil b split liabil limit,"d Vehicles involve in the auto accident 
 2 we will apply the limit of liability to provide any separate limit require by law for 
 bodily injury and property damage liability 
 however this provision A2 will not 
 change our total limit of liability 
 B Split Liability Limits",d vehicl involv in the auto accid 2 we will appli the limit of liabil to provid ani separ limit requir by law for bodili injuri and properti damag liabil howev this provis a2 will not chang our total limit of liabil b split liabil limit
"OUT OF STATE COVERAGE
If an auto accident to which this policy applies occurs in any state or province other than the one in
which your covered auto is principally garaged
we will interpret your policy for that accident as follows
A If the state or province has",out of state coverag if an auto accid to which this polici appli occur in ani state or provinc other than the one in which your cover auto is princip garag we will interpret your polici for that accid as follow a if the state or provinc has,"out of STATE COVERAGE 
 if an auto accident to which this policy apply occur in any state or province other than the one in 
 which your covered auto be principally garage 
 we will interpret your policy for that accident as follow 
 a if the state or province have",out of state coverag if an auto accid to which this polici appli occur in ani state or provinc other than the one in which your cover auto be princip garag we will interpret your polici for that accid as follow a if the state or provinc have
"If the Declarations show separate limits of
liability for Coverage A and Coverage B the
limit of liability shown in the Declarations for
each person for Coverage A is our maximum
limit of liability for all damages including
damages for care loss of services or death arising out of bodily injury sustained by any one
person in any one auto accident Subject to this
limit for each person the limit of liability
shown in the Declarations for each accident
for Coverage A is our maximum limit of
liability for all damages for bodily injury
resulting from any one auto accident The limit
of liability shown in the Declarations for each
accident for Coverage B is our maximum limit
of liability for all property damage resulting
from any one auto accident These limits are
the most we will pay regardless of the number
of
1 Insureds",if the declar show separ limit of liabil for coverag a and coverag b the limit of liabil shown in the declar for each person for coverag a is our maximum limit of liabil for all damag includ damag for care loss of servic or death aris out of bodili injuri sustain by ani one person in ani one auto accid subject to this limit for each person the limit of liabil shown in the declar for each accid for coverag a is our maximum limit of liabil for all damag for bodili injuri result from ani one auto accid the limit of liabil shown in the declar for each accid for coverag b is our maximum limit of liabil for all properti damag result from ani one auto accid these limit are the most we will pay regardless of the number of 1 insur,"if the Declarations show separate limit of 
 liability for Coverage A and Coverage B the 
 limit of liability show in the Declarations for 
 each person for Coverage A be our maximum 
 limit of liability for all damage include 
 damage for care loss of service or death arise out of bodily injury sustain by any one 
 person in any one auto accident Subject to this 
 limit for each person the limit of liability 
 show in the Declarations for each accident 
 for Coverage A be our maximum limit of 
 liability for all damage for bodily injury 
 result from any one auto accident the limit 
 of liability show in the Declarations for each 
 accident for Coverage B be our maximum limit 
 of liability for all property damage result 
 from any one auto accident these limit be 
 the most we will pay regardless of the number 
 of 
 1 insured",if the declar show separ limit of liabil for coverag a and coverag b the limit of liabil show in the declar for each person for coverag a be our maximum limit of liabil for all damag includ damag for care loss of servic or death aris out of bodili injuri sustain by ani one person in ani one auto accid subject to this limit for each person the limit of liabil show in the declar for each accid for coverag a be our maximum limit of liabil for all damag for bodili injuri result from ani one auto accid the limit of liabil show in the declar for each accid for coverag b be our maximum limit of liabil for all properti damag result from ani one auto accid these limit be the most we will pay regardless of the number of 1 insur
"1 A financial responsibility or similar law
specifying limits of liability for bodily injury or property damage higher than the
limit shown in the Declarations your policy
will provide the higher specified limit
2 A compulsory insurance or similar law requiring a nonresident to maintain insurance
whenever the nonresident uses a vehicle in
that state or province your policy will provide at least the required minimum
amounts and types of coverage
B No one will be entitled to duplicate payments
for the same elements of loss
FINANCIAL RESPONSIBILITY
When this policy is certified as future proof of
financial responsibility this policy shall comply
with the law to the extent required
OTHER INSURANCE",1 a financi respons or similar law specifi limit of liabil for bodili injuri or properti damag higher than the limit shown in the declar your polici will provid the higher specifi limit 2 a compulsori insur or similar law requir a nonresid to maintain insur whenev the nonresid use a vehicl in that state or provinc your polici will provid at least the requir minimum amount and type of coverag b no one will be entitl to duplic payment for the same element of loss financi respons when this polici is certifi as futur proof of financi respons this polici shall compli with the law to the extent requir other insur,"1 a financial responsibility or similar law 
 specify limit of liability for bodily injury or property damage high than the 
 limit show in the Declarations your policy 
 will provide the high specify limit 
 2 a compulsory insurance or similar law require a nonresident to maintain insurance 
 whenever the nonresident use a vehicle in 
 that state or province your policy will provide at least the require minimum 
 amount and type of coverage 
 b no one will be entitle to duplicate payment 
 for the same element of loss 
 FINANCIAL RESPONSIBILITY 
 when this policy be certify as future proof of 
 financial responsibility this policy shall comply 
 with the law to the extent require 
 other insurance",1 a financi respon or similar law specifi limit of liabil for bodili injuri or properti damag high than the limit show in the declar your polici will provid the high specifi limit 2 a compulsori insur or similar law requir a nonresid to maintain insur whenev the nonresid use a vehicl in that state or provinc your polici will provid at least the requir minimum amount and type of coverag b no one will be entitl to duplic payment for the same element of loss financi respon when this polici be certifi as futur proof of financi respon this polici shall compli with the law to the extent requir other insur
"2 Claims made
3 Vehicles or premiums shown in the Declarations or
4 Vehicles involved in the auto accident",2 claim made 3 vehicl or premium shown in the declar or 4 vehicl involv in the auto accid,"2 claim make 
 3 vehicle or premium show in the Declarations or 
 4 Vehicles involve in the auto accident",2 claim make 3 vehicl or premium show in the declar or 4 vehicl involv in the auto accid
"If there is other applicable liability insurance we
will pay only our share of the loss Our share is the
proportion that our limit of liability bears to the
total of all applicable limits However any insurance we provide for a vehicle you do not own
shall be excess over any other collectible insurance",if there is other applic liabil insur we will pay onli our share of the loss our share is the proport that our limit of liabil bear to the total of all applic limit howev ani insur we provid for a vehicl you do not own shall be excess over ani other collect insur,"if there be other applicable liability insurance we 
 will pay only our share of the loss our share be the 
 proportion that our limit of liability bear to the 
 total of all applicable limit however any insurance we provide for a vehicle you do not own 
 shall be excess over any other collectible insurance",if there be other applic liabil insur we will pay onli our share of the loss our share be the proport that our limit of liabil bear to the total of all applic limit howev ani insur we provid for a vehicl you do not own shall be excess over ani other collect insur
"A We will pay reasonable expenses incurred for
necessary medical and funeral services because
of bodily injury
1 Caused by accident and",a we will pay reason expens incur for necessari medic and funer servic becaus of bodili injuri 1 caus by accid and,"a we will pay reasonable expense incur for 
 necessary medical and funeral service because 
 of bodily injury 
 1 cause by accident and",a we will pay reason expen incur for necessari medic and funer servic becaus of bodili injuri 1 caus by accid and
"a while occupying or
b as a pedestrian when struck by
a motor vehicle designed for use mainly on
public roads or a trailer of any type",a while occupi or b as a pedestrian when struck by a motor vehicl design for use main on public road or a trailer of ani type,"a while occupy or 
 b as a pedestrian when strike by 
 a motor vehicle design for use mainly on 
 public road or a trailer of any type",a while occupi or b as a pedestrian when strike by a motor vehicl design for use main on public road or a trailer of ani type
"2 Sustained while occupying your covered
auto when it is being used to carry persons
or property for a fee This exclusion 2
does not apply to a sharetheexpense car
pool
3 Sustained while occupying any vehicle located for use as a residence or premises
4 Occurring during the course of employment if workers compensation benefits are
required or available for the bodily injury
5 Sustained while occupying or when
struck by any vehicle other than your
covered auto which is",2 sustain while occupi your cover auto when it is be use to carri person or properti for a fee this exclus 2 doe not appli to a sharetheexpens car pool 3 sustain while occupi ani vehicl locat for use as a resid or premis 4 occur dure the cours of employ if worker compens benefit are requir or avail for the bodili injuri 5 sustain while occupi or when struck by ani vehicl other than your cover auto which is,"2 sustain while occupy your cover 
 auto when it be be use to carry person 
 or property for a fee this exclusion 2 
 do not apply to a sharetheexpense car 
 pool 
 3 sustained while occupy any vehicle locate for use as a residence or premise 
 4 occur during the course of employment if worker compensation benefit be 
 require or available for the bodily injury 
 5 sustain while occupy or when 
 strike by any vehicle other than your 
 covered auto which be",2 sustain while occupi your cover auto when it be be use to carri person or properti for a fee this exclus 2 doe not appli to a sharetheexpens car pool 3 sustain while occupi ani vehicl locat for use as a resid or premis 4 occur dure the cour of employ if worker compen benefit be requir or avail for the bodili injuri 5 sustain while occupi or when strike by ani vehicl other than your cover auto which be
"a nuclear reaction
b radiation or
c radioactive contamination
LIMIT OF LIABILITY
A The limit of liability shown in the Declarations
for this coverage is our maximum limit of
liability for each person injured in any one accident This is the most we will pay regardless of
the number of
1 Insureds
2 Claims made",a nuclear reaction b radiat or c radioact contamin limit of liabil a the limit of liabil shown in the declar for this coverag is our maximum limit of liabil for each person injur in ani one accid this is the most we will pay regardless of the number of 1 insur 2 claim made,"a nuclear reaction 
 b radiation or 
 c radioactive contamination 
 LIMIT of LIABILITY 
 a the limit of liability show in the declaration 
 for this coverage be our maximum limit of 
 liability for each person injure in any one accident this be the most we will pay regardless of 
 the number of 
 1 insured 
 2 claim make",a nuclear reaction b radiat or c radioact contamin limit of liabil a the limit of liabil show in the declar for this coverag be our maximum limit of liabil for each person injur in ani one accid this be the most we will pay regardless of the number of 1 insur 2 claim make
"6 Sustained while occupying or when
struck by any vehicle other than your
covered auto which is",6 sustain while occupi or when struck by ani vehicl other than your cover auto which is,"6 sustain while occupy or when 
 strike by any vehicle other than your 
 covered auto which be",6 sustain while occupi or when strike by ani vehicl other than your cover auto which be
"We will however double the applicable limit
of liability for you or any family member if
wearing a properly installed seat belt at the
time of the accident",we will howev doubl the applic limit of liabil for you or ani famili member if wear a proper instal seat belt at the time of the accid,"we will however double the applicable limit 
 of liability for you or any family member if 
 wear a properly instal seat belt at the 
 time of the accident",we will howev doubl the applic limit of liabil for you or ani famili member if wear a proper instal seat belt at the time of the accid
