paragraph,stemmed,tokenized,stemmed_and_tokenized
"be liable up to the minimum limits prescribed for that province or
territory of Canada in which the accident occurred if that limits is higher
than the limits stated in Section A of Item 4 of the application and",be liabl up to the minimum limit prescrib for that provinc or territori of canada in which the accid occur if that limit is higher than the limit state in section a of item 4 of the applic and,"be liable up to the minimum limit prescribe for that province or 
 territory of Canada in which the accident occur if that limit be high 
 than the limit state in Section A of Item 4 of the application and",be liabl up to the minimum limit prescrib for that provinc or territori of canada in which the accid occur if that limit be high than the limit state in section a of item 4 of the applic and
"ut express consent of Informco
6 not set up any defense to a claim that might not be set up if the policy
were a motor vehicle liability policy issued in the provinces or territory of
Canada in which the accident occurred",ut express consent of informco 6 not set up ani defens to a claim that might not be set up if the polici were a motor vehicl liabil polici issu in the provinc or territori of canada in which the accid occur,"ut express consent of Informco 
 6 not set up any defense to a claim that might not be set up if the policy 
 be a motor vehicle liability policy issue in the province or territory of 
 Canada in which the accident occur",ut express consent of informco 6 not set up ani defen to a claim that might not be set up if the polici be a motor vehicl liabil polici issu in the provinc or territori of canada in which the accid occur
"a by the acceptance of this Policy constitutes and appoints the Insurers
irrevocable attorney to appear and defend in any province or territory of
Canada in which action is brought against the Insured arising out of the
ownership use or operation of the automoblle",a by the accept of this polici constitut and appoint the insur irrevoc attorney to appear and defend in ani provinc or territori of canada in which action is brought against the insur aris out of the ownership use or oper of the automobll,"a by the acceptance of this policy constitute and appoint the Insurers 
 irrevocable attorney to appear and defend in any province or territory of 
 Canada in which action be bring against the Insured arise out of the 
 ownership use or operation of the automoblle",a by the accept of this polici constitut and appoint the insur irrevoc attorney to appear and defend in ani provinc or territori of canada in which action be bring against the insur aris out of the ownership use or oper of the automobll
"b shall reimburse the Insurer upon demand in the amount which the
Insurer has paid by reason of the provisions of any statute relating to
automobile insurance and which the Insurer would not otherwise be
liable to pay under this Policy",b shall reimburs the insur upon demand in the amount which the insur has paid by reason of the provis of ani statut relat to automobil insur and which the insur would not otherwis be liabl to pay under this polici,"b shall reimburse the Insurer upon demand in the amount which the 
 Insurer have pay by reason of the provision of any statute relate to 
 automobile insurance and which the Insurer would not otherwise be 
 liable to pay under this policy",b shall reimburs the insur upon demand in the amount which the insur have pay by reason of the provis of ani statut relat to automobil insur and which the insur would not otherwis be liabl to pay under this polici
"Where section 321 of the Automobile Insurance Act applies
agrees ta indemnify the Insured under this section as tho
were a third party for damage caused to the automaobi
Insured its equipment and its contents if not carried for
of use of the automoblle equipment and contents In
Automobile insurance Act and the Fault Determination
under the Act",where section 321 of the automobil insur act appli agre ta indemnifi the insur under this section as tho were a third parti for damag caus to the automaobi insur it equip and it content if not carri for of use of the automobll equip and content in automobil insur act and the fault determin under the act,"where section 321 of the Automobile Insurance Act apply 
 agree ta indemnify the Insured under this section as tho 
 be a third party for damage cause to the automaobi 
 insure its equipment and its content if not carry for 
 of use of the automoblle equipment and content in 
 Automobile insurance Act and the Fault Determination 
 under the Act",where section 321 of the automobil insur act appli agre ta indemnifi the insur under this section as tho be a third parti for damag caus to the automaobi insur it equip and it content if not carri for of use of the automobll equip and content in automobil insur act and the fault determin under the act
"For the purpose of this section with re
automobile and its equipment the Ins
with respect to a claim for damage
is the owner of the contents",for the purpos of this section with re automobil and it equip the in with respect to a claim for damag is the owner of the content,"for the purpose of this section with re 
 automobile and its equipment the Ins 
 with respect to a claim for damage 
 be the owner of the content",for the purpos of this section with re automobil and it equip the in with respect to a claim for damag be the owner of the content
"ich the Insurers liability shall be
Direct Compensation — Property
ction A1 of ltem 4 of the application
the driver of the automobile was",ich the insur liabil shall be direct compens — properti ction a1 of ltem 4 of the applic the driver of the automobil was,"ich the Insurers liability shall be 
 Direct Compensation — property 
 ction a1 of ltem 4 of the application 
 the driver of the automobile be",ich the insur liabil shall be direct compen — properti ction a1 of ltem 4 of the applic the driver of the automobil be
"a for any amount In excess of the limits stated In Section A of item 4 of
the application subject always to the provisions of the section of the
Automobile Insurance Act relating to the nuclear energy hazard or",a for ani amount in excess of the limit state in section a of item 4 of the applic subject alway to the provis of the section of the automobil insur act relat to the nuclear energi hazard or,"a for any amount in excess of the limit state in section a of item 4 of 
 the application subject always to the provision of the section of the 
 Automobile Insurance Act relate to the nuclear energy hazard or",a for ani amount in excess of the limit state in section a of item 4 of the applic subject alway to the provis of the section of the automobil insur act relat to the nuclear energi hazard or
"The Insurer agrees to pay to or with respect to each insured person as
defined in this Section who sustains bodily injury or death by an accident
arising out of the use or operation of an automobile",the insur agre to pay to or with respect to each insur person as defin in this section who sustain bodili injuri or death by an accid aris out of the use or oper of an automobil,"the Insurer agree to pay to or with respect to each insure person as 
 define in this section who sustain bodily injury or death by an accident 
 arise out of the use or operation of an automobile",the insur agre to pay to or with respect to each insur person as defin in this section who sustain bodili injuri or death by an accid aris out of the use or oper of an automobil
"1 All reasonable expenses incurred within 4 years from the date of the
accident as a result of such injury for necessary medical surgical
dental chiropractic hospital professional nursing and ambulance
service and for any other service within the meaning of insured services
under Medical Care and Hospital insurance Act and for such other
services and supplies which are In the opinion of the physiclan of the
insured persons choice and that of the insurers medical advisor
essential for the treatment occupational retraining or rehabilitation of
said person to the limit of 25000 per person or such higher limit as
stated in subsection 1 of Section B of Item 4 of the Certificate of
Automobile Insurance",1 all reason expens incur within 4 year from the date of the accid as a result of such injuri for necessari medic surgic dental chiropract hospit profession nurs and ambul servic and for ani other servic within the mean of insur servic under medic care and hospit insur act and for such other servic and suppli which are in the opinion of the physiclan of the insur person choic and that of the insur medic advisor essenti for the treatment occup retrain or rehabilit of said person to the limit of 25000 per person or such higher limit as state in subsect 1 of section b of item 4 of the certif of automobil insur,"1 all reasonable expense incur within 4 year from the date of the 
 accident as a result of such injury for necessary medical surgical 
 dental chiropractic hospital professional nursing and ambulance 
 service and for any other service within the meaning of insured service 
 under Medical Care and Hospital insurance Act and for such other 
 service and supply which be in the opinion of the physiclan of the 
 insured person choice and that of the insurer medical advisor 
 essential for the treatment occupational retraining or rehabilitation of 
 say person to the limit of 25000 per person or such high limit as 
 state in subsection 1 of Section B of Item 4 of the Certificate of 
 Automobile Insurance",1 all reason expen incur within 4 year from the date of the accid as a result of such injuri for necessari medic surgic dental chiropract hospit profession nur and ambul servic and for ani other servic within the mean of insur servic under medic care and hospit insur act and for such other servic and suppli which be in the opinion of the physiclan of the insur person choic and that of the insur medic advisor essenti for the treatment occup retrain or rehabilit of say person to the limit of 25000 per person or such high limit as state in subsect 1 of section b of item 4 of the certif of automobil insur
"2 Funeral expenses incurred to the limit of 1000 in respect of the death
of any one person or such higher limit as stated in subsection 1 of
Section B of Item 4 of the Certificate of Automobile Insurance",2 funer expens incur to the limit of 1000 in respect of the death of ani one person or such higher limit as state in subsect 1 of section b of item 4 of the certif of automobil insur,"2 Funeral expense incur to the limit of 1000 in respect of the death 
 of any one person or such high limit as state in subsection 1 of 
 Section B of Item 4 of the Certificate of Automobile Insurance",2 funer expen incur to the limit of 1000 in respect of the death of ani one person or such high limit as state in subsect 1 of section b of item 4 of the certif of automobil insur
"The Insurer shall not be liable under this subsection for those portions of
such expenses payable or recoverable under any medical surgical dental or
hospltallzation plan or law or except for similar Insurance provided under
another automobile insurance contract under any other insura
certificate issued to or for tha benefit of any insured parson",the insur shall not be liabl under this subsect for those portion of such expens payabl or recover under ani medic surgic dental or hospltallz plan or law or except for similar insur provid under anoth automobil insur contract under ani other insura certif issu to or for tha benefit of ani insur parson,"the Insurer shall not be liable under this subsection for those portion of 
 such expense payable or recoverable under any medical surgical dental or 
 hospltallzation plan or law or except for similar Insurance provide under 
 another automobile insurance contract under any other insura 
 certificate issue to or for tha benefit of any insured parson",the insur shall not be liabl under this subsect for those portion of such expen payabl or recover under ani medic surgic dental or hospltallz plan or law or except for similar insur provid under anoth automobil insur contract under ani other insura certif issu to or for tha benefit of ani insur parson
"Head of the household  ih    10000
Spouse of the Head of the h  10000
Dependent withi",head of the household ih 10000 spous of the head of the h 10000 depend withi,"head of the household   ih     10000 
 Spouse of the Head of the h   10000 
 dependent withi",head of the household ih 10000 spous of the head of the h 10000 depend withi
"the head of the household” means the spouse with the
e from employment in the 12 months preceding the",the head of the household” mean the spous with the e from employ in the 12 month preced the,"the head of the household "" mean the spouse with the 
 e from employment in the 12 month precede the","the head of the household "" mean the spous with the e from employ in the 12 month prece the"
"b are married to each othar by a marriage that is voidable and
has not been voided by a judgement of nullity or",b are marri to each othar by a marriag that is voidabl and has not been void by a judgement of nulliti or,"b be married to each othar by a marriage that be voidable and 
 have not be void by a judgement of nullity or",b be marri to each othar by a marriag that be voidabl and have not be void by a judgement of nulliti or
"c have gone through a form of marriage with each other In good
faith that is void and are cohabiting or have cohabited within
the preceding year",c have gone through a form of marriag with each other in good faith that is void and are cohabit or have cohabit within the preced year,"c have go through a form of marriage with each other in good 
 faith that be void and be cohabit or have cohabit within 
 the precede year",c have go through a form of marriag with each other in good faith that be void and be cohabit or have cohabit within the prece year
"and includes either of 2 persons who not being married to each
other have cohabited in a conjugal relationship outside of marriage
continuously for at least one year immediately preceding the
occurrence giving rise to a claim
3 “Dependent” means
a the spouse of the head of the household who resides with the
head of the household or
b a person",and includ either of 2 person who not be marri to each other have cohabit in a conjug relationship outsid of marriag continu for at least one year immedi preced the occurr give rise to a claim 3 “dependent” mean a the spous of the head of the household who resid with the head of the household or b a person,"and include either of 2 person who not be married to each 
 other have cohabit in a conjugal relationship outside of marriage 
 continuously for at least one year immediately precede the 
 occurrence give rise to a claim 
 3 "" dependent "" mean 
 a the spouse of the head of the household who reside with the 
 head of the household or 
 b a person","and includ either of 2 person who not be marri to each other have cohabit in a conjug relationship outsid of marriag continu for at least one year immedi prece the occurr give rise to a claim 3 "" dependent "" mean a the spous of the head of the household who resid with the head of the household or b a person"
"ut express consent of Informco
principally dependent upon the head of the household or
the spouse of the head of the household for financial
support",ut express consent of informco princip depend upon the head of the household or the spous of the head of the household for financi support,"ut express consent of Informco 
 principally dependent upon the head of the household or 
 the spouse of the head of the household for financial 
 support",ut express consent of informco princip depend upon the head of the household or the spous of the head of the household for financi support
"i 19 years of age or over who because of mental or
physical infirmity is principally dependent upon the head
of the household or the spouse of the head of the
household for financial support or",i 19 year of age or over who becaus of mental or physic infirm is princip depend upon the head of the household or the spous of the head of the household for financi support or,"I 19 year of age or over who because of mental or 
 physical infirmity be principally dependent upon the head 
 of the household or the spouse of the head of the 
 household for financial support or",I 19 year of age or over who becaus of mental or physic infirm be princip depend upon the head of the household or the spous of the head of the household for financi support or
"ii 19 years of age or over who because of fulltime
attendance at a school collage or univarsity is principally
dependent upon the head of the household or the spouse
of the head of the household for financial support or",ii 19 year of age or over who becaus of fulltim attend at a school collag or univars is princip depend upon the head of the household or the spous of the head of the household for financi support or,"ii 19 year of age or over who because of fulltime 
 attendance at a school collage or univarsity be principally 
 dependent upon the head of the household or the spouse 
 of the head of the household for financial support or",ii 19 year of age or over who becaus of fulltim attend at a school collag or univar be princip depend upon the head of the household or the spous of the head of the household for financi support or
"4 The total amount payable shall be paid to a person who is the head
of the household or the spouse of the head of the hoi Id as the
case may be if that person survives the dece by at least
30 days",4 the total amount payabl shall be paid to a person who is the head of the household or the spous of the head of the hoi id as the case may be if that person surviv the dece by at least 30 day,"4 the total amount payable shall be pay to a person who be the head 
 of the household or the spouse of the head of the hoi I d as the 
 case may be if that person survive the dece by at least 
 30 day",4 the total amount payabl shall be pay to a person who be the head of the household or the spous of the head of the hoi I d as the case may be if that person surviv the dece by at least 30 day
"5 The total amount payable with respect to death
the household or spouse survives the deceased b
shall be divided equally among the s",5 the total amount payabl with respect to death the household or spous surviv the deceas b shall be divid equal among the s,"5 the total amount payable with respect to death 
 the household or spouse survive the deceased b 
 shall be divide equally among the s",5 the total amount payabl with respect to death the household or spous surviv the deceas b shall be divid equal among the s
"Subject to the provisions of thi payment for the loss of income
from employment for the per i ich the insured person suffers
substantial inability to perform tl i i
or employment provi",subject to the provis of thi payment for the loss of incom from employ for the per i ich the insur person suffer substanti inabl to perform tl i i or employ provi,"subject to the provision of thi payment for the loss of income 
 from employment for the per I ich the insure person suffer 
 substantial inability to perform tl I i 
 or employment provi",subject to the provis of thi payment for the loss of incom from employ for the per I ich the insur person suffer substanti inabl to perform tl I I or employ provi
"all be made for any period in excess of 104 weeks except
d of the 104 week period it has been established that
inuously prevents such parson from engaging in any
r employment for which the Insured is reasonably suited by
training or experience the Insurer agrees to make such
ayments for the duration of such inability to perform the
ial duties",all be made for ani period in excess of 104 week except d of the 104 week period it has been establish that inuous prevent such parson from engag in ani r employ for which the insur is reason suit by train or experi the insur agre to make such ayment for the durat of such inabl to perform the ial duti,"all be make for any period in excess of 104 week except 
 d of the 104 week period it have be establish that 
 inuously prevent such parson from engage in any 
 r employment for which the Insured be reasonably suit by 
 training or experience the Insurer agree to make such 
 ayment for the duration of such inability to perform the 
 ial duty",all be make for ani period in excess of 104 week except d of the 104 week period it have be establish that inuous prevent such parson from engag in ani r employ for which the insur be reason suit by train or experi the insur agre to make such ayment for the durat of such inabl to perform the ial duti
"a 140 per week or such higher amount as stated in subsection 2 of
Section B of Item 4 of the Certificate of Automobile Insurance and",a 140 per week or such higher amount as state in subsect 2 of section b of item 4 of the certif of automobil insur and,"a 140 per week or such high amount as state in subsection 2 of 
 Section B of Item 4 of the Certificate of Automobile Insurance and",a 140 per week or such high amount as state in subsect 2 of section b of item 4 of the certif of automobil insur and
"b 80 percent of the Insured persons gross weekly Income from
employment less any payments for loss of income from employment
recaived by or available to such parson under",b 80 percent of the insur person gross week incom from employ less ani payment for loss of incom from employ recaiv by or avail to such parson under,"b 80 percent of the Insured person gross weekly income from 
 employment less any payment for loss of income from employment 
 recaive by or available to such parson under",b 80 percent of the insur person gross week incom from employ less ani payment for loss of incom from employ recaiv by or avail to such parson under
"1 there shall be deducted from an insured persons gross weekly income
any payments received by or available to him or her from parttime or
other employment or occupation subsequent to the date of the accident",1 there shall be deduct from an insur person gross week incom ani payment receiv by or avail to him or her from parttim or other employ or occup subsequ to the date of the accid,"1 there shall be deduct from an insured person gross weekly income 
 any payment receive by or available to he or she from parttime or 
 other employment or occupation subsequent to the date of the accident",1 there shall be deduct from an insur person gross week incom ani payment receiv by or avail to he or she from parttim or other employ or occup subsequ to the date of the accid
"2 a principal unpaid housekeeper residing in the household not otherwise
engaged in occupation or employment for wages or profit if injured shall
be deemed disabled only if completely incapacitated and unable to
perform any of the Insured’s household duties and while so
incapacitated shall receive a benefit at the rate of 7000 per week for
not more than 12 weeks",2 a princip unpaid housekeep resid in the household not otherwis engag in occup or employ for wage or profit if injur shall be deem disabl onli if complet incapacit and unabl to perform ani of the insur household duti and while so incapacit shall receiv a benefit at the rate of 7000 per week for not more than 12 week,"2 a principal unpaid housekeeper reside in the household not otherwise 
 engage in occupation or employment for wage or profit if injure shall 
 be deem disabled only if completely incapacitate and unable to 
 perform any of the Insured ’s household duty and while so 
 incapacitate shall receive a benefit at the rate of 7000 per week for 
 not more than 12 week",2 a princip unpaid housekeep resid in the household not otherwis engag in occup or employ for wage or profit if injur shall be deem disabl onli if complet incapacit and unabl to perform ani of the insur household duti and while so incapacit shall receiv a benefit at the rate of 7000 per week for not more than 12 week
"a if actively engaged in an occupation or employment for wages or
profit at the date of the accident or",a if activ engag in an occup or employ for wage or profit at the date of the accid or,"a if actively engage in an occupation or employment for wage or 
 profit at the date of the accident or",a if activ engag in an occup or employ for wage or profit at the date of the accid or
"b so engaged for any 6 months out of the preceding 12 months and
in these circumstances shall be deemed to have suffered loss of
income at a rate equal to that of the Insured’s most recent
employment eamings",b so engag for ani 6 month out of the preced 12 month and in these circumst shall be deem to have suffer loss of incom at a rate equal to that of the insur most recent employ eam,"b so engage for any 6 month out of the precede 12 month and 
 in these circumstance shall be deem to have suffer loss of 
 income at a rate equal to that of the Insured ’s most recent 
 employment eaming",b so engag for ani 6 month out of the prece 12 month and in these circumst shall be deem to have suffer loss of incom at a rate equal to that of the insur most recent employ eam
"4 a person receiving a weekly payment who resumes the Insured’s
occupation or employment and within 104 weeks from thgidate of the
accident is unable to continue such occupation or el
result of the accident Is not precluded from recelv
payments",4 a person receiv a week payment who resum the insur occup or employ and within 104 week from thgidat of the accid is unabl to continu such occup or el result of the accid is not preclud from recelv payment,"4 a person receive a weekly payment who resume the Insured ’s 
 occupation or employment and within 104 week from thgidate of the 
 accident be unable to continue such occupation or el 
 result of the accident be not preclude from recelv 
 payment",4 a person receiv a week payment who resum the insur occup or employ and within 104 week from thgidat of the accid be unabl to continu such occup or el result of the accid be not preclud from recelv payment
"5 where the payments for loss of income payable hereul
payments for loss of income under another contract of
than a contract of insurance relating to any wage or salar
plan available to an insured person
employment exceed the actual loss oLinco",5 where the payment for loss of incom payabl hereul payment for loss of incom under anoth contract of than a contract of insur relat to ani wage or salar plan avail to an insur person employ exceed the actual loss olinco,"5 where the payment for loss of income payable hereul 
 payment for loss of income under another contract of 
 than a contract of insurance relate to any wage or salar 
 plan available to an insured person 
 employment exceed the actual loss olinco",5 where the payment for loss of incom payabl hereul payment for loss of incom under anoth contract of than a contract of insur relat to ani wage or salar plan avail to an insur person employ exceed the actual loss olinco
"iv such other automabile is not owned hired or leased by an
employer of the Insured or by an employer of any person or
persons residing in the same dwelling premises as the
Insured",iv such other automabil is not own hire or leas by an employ of the insur or by an employ of ani person or person resid in the same dwell premis as the insur,"iv such other automabile be not own hire or lease by an 
 employer of the Insured or by an employer of any person or 
 person reside in the same dwelling premise as the 
 insured",iv such other automabil be not own hire or lea by an employ of the insur or by an employ of ani person or person resid in the same dwell premis as the insur
"v such other automobile is not used for carrying passengers for
compensation or hire or for commercial delivery",v such other automobil is not use for carri passeng for compens or hire or for commerci deliveri,"v such other automobile be not use for carry passenger for 
 compensation or hire or for commercial delivery",v such other automobil be not use for carri passeng for compen or hire or for commerci deliveri
"c any person not the occupant of an automobile or of railway rolling
stock that runs on rails who is struck in Canada by the described
automobile or a newly acquired or temporary substitute automobile
as defined in the Policy",c ani person not the occup of an automobil or of railway roll stock that run on rail who is struck in canada by the describ automobil or a newli acquir or temporari substitut automobil as defin in the polici,"c any person not the occupant of an automobile or of railway roll 
 stock that run on rail who be strike in Canada by the describe 
 automobile or a newly acquire or temporary substitute automobile 
 as define in the policy",c ani person not the occup of an automobil or of railway roll stock that run on rail who be strike in canada by the describ automobil or a newli acquir or temporari substitut automobil as defin in the polici
"d the named Insured if an individual and the Insured’s spouse and
any dependent relative residing in the same dwelling premises as
the named Insured not the aceupant of an automobile or of railway
rollingstock that runs on ralls who Is struck by any other
automobile provided that",d the name insur if an individu and the insur spous and ani depend relat resid in the same dwell premis as the name insur not the aceup of an automobil or of railway rollingstock that run on rall who is struck by ani other automobil provid that,"d the name Insured if an individual and the Insured ’s spouse and 
 any dependent relative reside in the same dwelling premise as 
 the name Insured not the aceupant of an automobile or of railway 
 rollingstock that run on rall who be strike by any other 
 automobile provide that",d the name insur if an individu and the insur spous and ani depend relat resid in the same dwell premis as the name insur not the aceup of an automobil or of railway rollingstock that run on rall who be strike by ani other automobil provid that
"ut express consent of Informco
i such person is not engaged in the business of selling
repairing maintaining servicing storing or parking auto
maobiles at the time of the accident",ut express consent of informco i such person is not engag in the busi of sell repair maintain servic store or park auto maobil at the time of the accid,"ut express consent of Informco 
 I such person be not engage in the business of sell 
 repair maintain servicing storing or parking auto 
 maobile at the time of the accident",ut express consent of informco I such person be not engag in the busi of sell repair maintain servic store or park auto maobil at the time of the accid
"ii that automobile is not owned or regularly or frequently used by
the Insured or by any person or persons residing in the same
dwelling premises as the named Insured",ii that automobil is not own or regular or frequent use by the insur or by ani person or person resid in the same dwell premis as the name insur,"ii that automobile be not own or regularly or frequently use by 
 the insured or by any person or person reside in the same 
 dwell premise as the name insure",ii that automobil be not own or regular or frequent use by the insur or by ani person or person resid in the same dwell premis as the name insur
"iii that automobile is not owned hired or leased by an employer
of the Insured or by an employar of any person or persons
residing in the same dwelling premises as the named Insured",iii that automobil is not own hire or leas by an employ of the insur or by an employar of ani person or person resid in the same dwell premis as the name insur,"iii that automobile be not own hire or lease by an employer 
 of the Insured or by an employar of any person or person 
 reside in the same dwelling premise as the name insure",iii that automobil be not own hire or lea by an employ of the insur or by an employar of ani person or person resid in the same dwell premis as the name insur
"e if the Insured is a corporation unincorporated association or
partnership any employee or partner of the Insured for whose
regular use the described automobile is fumished and the
Insured’s spouse and any depandant ralative of either residing in
the same dwelling premises as such employee or partner while an
occupant of any other automobile of the private passenger or
station wagon type and",e if the insur is a corpor unincorpor associ or partnership ani employe or partner of the insur for whose regular use the describ automobil is fumish and the insur spous and ani depand ralat of either resid in the same dwell premis as such employe or partner while an occup of ani other automobil of the privat passeng or station wagon type and,"e if the Insured be a corporation unincorporated association or 
 partnership any employee or partner of the Insured for whose 
 regular use the describe automobile be fumishe and the 
 insured ’s spouse and any depandant ralative of either reside in 
 the same dwelling premise as such employee or partner while an 
 occupant of any other automobile of the private passenger or 
 station wagon type and",e if the insur be a corpor unincorpor associ or partnership ani employe or partner of the insur for whose regular use the describ automobil be fumish and the insur spous and ani depand ralat of either resid in the same dwell premis as such employe or partner while an occup of ani other automobil of the privat passeng or station wagon type and
