paragraph,stemmed,tokenized,stemmed_and_tokenized
"This Form must be attached to Change Endorsement when issued after the policy is written
One of the Fireman’s Fund Insurance Companies as named in the policy",this form must be attach to chang endors when issu after the polici is written one of the fireman fund insur compani as name in the polici,"this form must be attach to Change Endorsement when issue after the policy be write 
 one of the Fireman ’s Fund Insurance Companies as name in the policy",this form must be attach to chang endor when issu after the polici be write one of the fireman fund insur compani as name in the polici
"= NONOWNED AUTOS ONLY Only
those autos you do not own lease hire rent
or borrow that are used in connection with
your business This includes autos owned by
your employees  partners if you are a partnership members if you are a limited liability company or members of their households
but only while used in your business or your
personal affairs",= nonown auto onli onli those auto you do not own leas hire rent or borrow that are use in connect with your busi this includ auto own by your employe partner if you are a partnership member if you are a limit liabil compani or member of their household but onli while use in your busi or your person affair,"= nonowned auto only only 
 those auto you do not own lease hire rent 
 or borrow that be use in connection with 
 your business this include auto own by 
 your employee   partner if you be a partnership member if you be a limited liability company or member of their household 
 but only while use in your business or your 
 personal affair",= nonown auto onli onli those auto you do not own lea hire rent or borrow that be use in connect with your busi this includ auto own by your employe partner if you be a partnership member if you be a limit liabil compani or member of their household but onli while use in your busi or your person affair
"19 = MOBILE EQUIPMENT SUBJECT TO
COMPULSORY OR FINANCIAL RESPONSIBILITY OR OTHER MOTOR
VEHICLE INSURANCE LAW ONLY
Only those autos that are land vehicles and
that would qualify under the definition of
mobile equipment under this policy if they
were not subject to a compulsory or financial
responsibility law or other motor vehicle insurance law where they are licensed or principally garaged
B",19 = mobil equip subject to compulsori or financi respons or other motor vehicl insur law onli onli those auto that are land vehicl and that would qualifi under the definit of mobil equip under this polici if they were not subject to a compulsori or financi respons law or other motor vehicl insur law where they are licens or princip garag b,"19 = MOBILE EQUIPMENT subject to 
 COMPULSORY OR FINANCIAL RESPONSIBILITY or other MOTOR 
 VEHICLE insurance law only 
 only those auto that be land vehicle and 
 that would qualify under the definition of 
 mobile equipment under this policy if they 
 be not subject to a compulsory or financial 
 responsibility law or other motor vehicle insurance law where they be license or principally garage 
 b",19 = mobil equip subject to compulsori or financi respon or other motor vehicl insur law onli onli those auto that be land vehicl and that would qualifi under the definit of mobil equip under this polici if they be not subject to a compulsori or financi respon law or other motor vehicl insur law where they be licen or princip garag b
"If symbols 1 2 3 4 5 6 or 19 are entered
next to a coverage in Item Two of the Declarations then you have coverage for autos that
you acquire of the type described for the remainder of the policy period",if symbol 1 2 3 4 5 6 or 19 are enter next to a coverag in item two of the declar then you have coverag for auto that you acquir of the type describ for the remaind of the polici period,"if symbol 1 2 3 4 5 6 or 19 be enter 
 next to a coverage in Item two of the Declarations then you have coverage for auto that 
 you acquire of the type describe for the remainder of the policy period",if symbol 1 2 3 4 5 6 or 19 be enter next to a coverag in item two of the declar then you have coverag for auto that you acquir of the type describ for the remaind of the polici period
"But if Symbol 7 is entered next to a coverage
in Item Two of the Declarations an auto you
acquire will be a covered auto for that coverage only if
a",but if symbol 7 is enter next to a coverag in item two of the declar an auto you acquir will be a cover auto for that coverag onli if a,"but if Symbol 7 be enter next to a coverage 
 in Item two of the Declarations an auto you 
 acquire will be a cover auto for that coverage only if 
 a",but if symbol 7 be enter next to a coverag in item two of the declar an auto you acquir will be a cover auto for that coverag onli if a
"We already cover all autos that you own
for that coverage or it replaces an auto
you previously owned that had that coverage and",we alreadi cover all auto that you own for that coverag or it replac an auto you previous own that had that coverag and,"we already cover all auto that you own 
 for that coverage or it replace an auto 
 you previously own that have that coverage and",we alreadi cover all auto that you own for that coverag or it replac an auto you previous own that have that coverag and
"Any auto you do not own while used with the
permission of its owner as a temporary substitute for a covered auto you own that is out
of service because of its
a",ani auto you do not own while use with the permiss of it owner as a temporari substitut for a cover auto you own that is out of servic becaus of it a,"any auto you do not own while use with the 
 permission of its owner as a temporary substitute for a cover auto you own that be out 
 of service because of its 
 a",ani auto you do not own while use with the permiss of it owner as a temporari substitut for a cover auto you own that be out of servic becaus of it a
"A Coverage
We will pay all sums an insured legally must pay
as damages because of bodily injury or property
damage to which this insurance applies caused by
an accident and resulting from the ownership
maintenance or use of a covered auto
We will also pay all sums an insured legally must
pay as a covered pollution cost or expense to which
this insurance applies caused by an accident and
resulting from the ownership maintenance or use
of covered autos  However we will only pay for
the covered pollution cost or expense if there is either bodily injury or property damage to which this
insurance applies that is caused by the same accident
We have the right and duty to defend any insured
against a suit asking for such damages or a covered
pollution cost or expense  However we have no
duty to defend any insured against a suit seeking
damages for bodily injury or property damage or a
covered pollution cost or expense to which this insurance does not apply We may investigate and
settle any claim or suit as we consider appropriate
Our duty to defend or settle ends when the Liability Coverage Limit of Insurance has been exhausted by payment of judgments or settlements
1",a coverag we will pay all sum an insur legal must pay as damag becaus of bodili injuri or properti damag to which this insur appli caus by an accid and result from the ownership mainten or use of a cover auto we will also pay all sum an insur legal must pay as a cover pollut cost or expens to which this insur appli caus by an accid and result from the ownership mainten or use of cover auto howev we will onli pay for the cover pollut cost or expens if there is either bodili injuri or properti damag to which this insur appli that is caus by the same accid we have the right and duti to defend ani insur against a suit ask for such damag or a cover pollut cost or expens howev we have no duti to defend ani insur against a suit seek damag for bodili injuri or properti damag or a cover pollut cost or expens to which this insur doe not appli we may investig and settl ani claim or suit as we consid appropri our duti to defend or settl end when the liabil coverag limit of insur has been exhaust by payment of judgment or settlement 1,"a coverage 
 we will pay all sum an insured legally must pay 
 as damage because of bodily injury or property 
 damage to which this insurance apply cause by 
 an accident and result from the ownership 
 maintenance or use of a covered auto 
 we will also pay all sum an insured legally must 
 pay as a covered pollution cost or expense to which 
 this insurance apply cause by an accident and 
 result from the ownership maintenance or use 
 of cover auto   however we will only pay for 
 the covered pollution cost or expense if there be either bodily injury or property damage to which this 
 insurance apply that be cause by the same accident 
 we have the right and duty to defend any insure 
 against a suit ask for such damage or a cover 
 pollution cost or expense   however we have no 
 duty to defend any insure against a suit seek 
 damage for bodily injury or property damage or a 
 covered pollution cost or expense to which this insurance do not apply we may investigate and 
 settle any claim or suit as we consider appropriate 
 our duty to defend or settle end when the Liability Coverage Limit of Insurance have be exhaust by payment of judgment or settlement 
 1",a coverag we will pay all sum an insur legal must pay as damag becaus of bodili injuri or properti damag to which this insur appli caus by an accid and result from the ownership mainten or use of a cover auto we will also pay all sum an insur legal must pay as a cover pollut cost or expen to which this insur appli caus by an accid and result from the ownership mainten or use of cover auto howev we will onli pay for the cover pollut cost or expen if there be either bodili injuri or properti damag to which this insur appli that be caus by the same accid we have the right and duti to defend ani insur against a suit ask for such damag or a cover pollut cost or expen howev we have no duti to defend ani insur against a suit seek damag for bodili injuri or properti damag or a cover pollut cost or expen to which this insur doe not appli we may investig and settl ani claim or suit as we consid appropri our duti to defend or settl end when the liabil coverag limit of insur have be exhaust by payment of judgment or settlement 1
"If Liability Coverage is provided by this coverage
form the following types of vehicles are also covered autos for Liability Coverage",if liabil coverag is provid by this coverag form the follow type of vehicl are also cover auto for liabil coverag,"if Liability Coverage be provide by this coverage 
 form the follow type of vehicle be also cover auto for Liability Coverage",if liabil coverag be provid by this coverag form the follow type of vehicl be also cover auto for liabil coverag
"SAMPLE
auto This exception does not apply
if the covered auto is a trailer connected to a covered auto you own",sampl auto this except doe not appli if the cover auto is a trailer connect to a cover auto you own,"SAMPLE 
 auto this exception do not apply 
 if the covered auto be a trailer connect to a cover auto you own",sampl auto this except doe not appli if the cover auto be a trailer connect to a cover auto you own
"5 All court costs taxed against the insured in any suit against the insured
we defend However these payments do not include attorneys’ fees
or attorneys’ expenses taxed against
the insured",5 all court cost tax against the insur in ani suit against the insur we defend howev these payment do not includ attorney fee or attorney expens tax against the insur,"5 all court cost tax against the insured in any suit against the insure 
 we defend however these payment do not include attorney ’ fee 
 or attorney ' expense tax against 
 the insure",5 all court cost tax against the insur in ani suit against the insur we defend howev these payment do not includ attorney fee or attorney expen tax against the insur
"6 All interest on the full amount of
any judgment that accrues after entry of the judgment in any suit
against the insured we defend but
our duty to pay interest ends when
we have paid offered to pay or deposited in court the part of the
judgment that is within our Limit
of Insurance",6 all interest on the full amount of ani judgment that accru after entri of the judgment in ani suit against the insur we defend but our duti to pay interest end when we have paid offer to pay or deposit in court the part of the judgment that is within our limit of insur,"6 all interest on the full amount of 
 any judgment that accrue after entry of the judgment in any suit 
 against the insured we defend but 
 our duty to pay interest end when 
 we have pay offer to pay or deposit in court the part of the 
 judgment that be within our Limit 
 of insurance",6 all interest on the full amount of ani judgment that accru after entri of the judgment in ani suit against the insur we defend but our duti to pay interest end when we have pay offer to pay or deposit in court the part of the judgment that be within our limit of insur
"3 Someone using a covered auto while
he or she is working in a business
of selling servicing repairing parking or storing autos unless that business is yours
4 Anyone other than your employees 
partners if you are a partnership
members if you are a limited liability company or a lessee or borrower
or any of their employees  while
moving property to or from a covered auto",3 someon use a cover auto while he or she is work in a busi of sell servic repair park or store auto unless that busi is your 4 anyon other than your employe partner if you are a partnership member if you are a limit liabil compani or a lesse or borrow or ani of their employe while move properti to or from a cover auto,"3 someone use a cover auto while 
 he or she be work in a business 
 of sell servicing repair parking or store auto unless that business be yours 
 4 anyone other than your employee 
 partner if you be a partnership 
 member if you be a limited liability company or a lessee or borrower 
 or any of their employee   while 
 move property to or from a cover auto",3 someon use a cover auto while he or she be work in a busi of sell servic repair park or store auto unless that busi be your 4 anyon other than your employe partner if you be a partnership member if you be a limit liabil compani or a lesse or borrow or ani of their employe while move properti to or from a cover auto
"5 A partner if you are a partnership
or a member if you are a limited liability company for a covered auto
owned by him or her or a member
of his or her household
c",5 a partner if you are a partnership or a member if you are a limit liabil compani for a cover auto own by him or her or a member of his or her household c,"5 a partner if you be a partnership 
 or a member if you be a limited liability company for a cover auto 
 own by he or she or a member 
 of his or her household 
 c",5 a partner if you be a partnership or a member if you be a limit liabil compani for a cover auto own by he or she or a member of his or her household c
"While a covered auto is away from the
state where it is licensed we will
1 Increase the Limit of Insurance for
Liability Coverage to meet the limits
specified by a compulsory or financial responsibility law of the jurisdiction where the covered auto is
being used This extension does not
apply to the limit or limits specified
by any law governing motor carriers
of passengers or property",while a cover auto is away from the state where it is licens we will 1 increas the limit of insur for liabil coverag to meet the limit specifi by a compulsori or financi respons law of the jurisdict where the cover auto is be use this extens doe not appli to the limit or limit specifi by ani law govern motor carrier of passeng or properti,"while a cover auto be away from the 
 state where it be license we will 
 1 increase the Limit of Insurance for 
 Liability Coverage to meet the limit 
 specify by a compulsory or financial responsibility law of the jurisdiction where the covered auto be 
 be use this extension do not 
 apply to the limit or limit specify 
 by any law govern motor carrier 
 of passenger or property",while a cover auto be away from the state where it be licen we will 1 increas the limit of insur for liabil coverag to meet the limit specifi by a compulsori or financi respon law of the jurisdict where the cover auto be be use this exten doe not appli to the limit or limit specifi by ani law govern motor carrier of passeng or properti
"Anyone liable for the conduct of an insured described above but only to the
extent of that liability",anyon liabl for the conduct of an insur describ abov but onli to the extent of that liabil,"anyone liable for the conduct of an insure describe above but only to the 
 extent of that liability",anyon liabl for the conduct of an insur describ abov but onli to the extent of that liabil
"2 Provide the minimum amounts and
types of other coverages such as
nofault required of outofstate vehicles by the jurisdiction where the
covered auto is being used",2 provid the minimum amount and type of other coverag such as nofault requir of outofst vehicl by the jurisdict where the cover auto is be use,"2 provide the minimum amount and 
 type of other coverage such as 
 nofault require of outofstate vehicle by the jurisdiction where the 
 covered auto be be use",2 provid the minimum amount and type of other coverag such as nofault requir of outofst vehicl by the jurisdict where the cover auto be be use
"1 All expenses we incur
2 Up to 2000 for cost of bail bonds
including bonds for related traffic
law violations required because of
an accident we cover We do not
have to furnish these bonds
3 The cost of bonds to release attachments in any suit against the
insured we defend but only for bond
amounts within our Limit of Insurance
4 All reasonable expenses incurred by
the insured at our request including
actual loss of earnings up to 250 a
day because of time off from work
CA0001 310
Insurance Services Office Inc 2009",1 all expens we incur 2 up to 2000 for cost of bail bond includ bond for relat traffic law violat requir becaus of an accid we cover we do not have to furnish these bond 3 the cost of bond to releas attach in ani suit against the insur we defend but onli for bond amount within our limit of insur 4 all reason expens incur by the insur at our request includ actual loss of earn up to 250 a day becaus of time off from work ca0001 310 insur servic offic inc 2009,"1 all expense we incur 
 2 up to 2000 for cost of bail bond 
 include bond for related traffic 
 law violation require because of 
 an accident we cover we do not 
 have to furnish these bond 
 3 the cost of bond to release attachment in any suit against the 
 insured we defend but only for bond 
 amount within our Limit of Insurance 
 4 all reasonable expense incur by 
 the insure at our request include 
 actual loss of earning up to 250 a 
 day because of time off from work 
 CA0001 310 
 Insurance Services Office Inc 2009",1 all expen we incur 2 up to 2000 for cost of bail bond includ bond for relat traffic law violat requir becaus of an accid we cover we do not have to furnish these bond 3 the cost of bond to releas attach in ani suit against the insur we defend but onli for bond amount within our limit of insur 4 all reason expen incur by the insur at our request includ actual loss of earn up to 250 a day becaus of time off from work ca0001 310 insur servic offic inc 2009
"Expected or Intended Injury
Bodily injury or property damage expected or
intended from the standpoint of the insured",expect or intend injuri bodili injuri or properti damag expect or intend from the standpoint of the insur,"expect or Intended Injury 
 Bodily injury or property damage expect or 
 intend from the standpoint of the insure",expect or intend injuri bodili injuri or properti damag expect or intend from the standpoint of the insur
"Liability assumed under any contract or
agreement
But this exclusion does not apply to liability
for damages",liabil assum under ani contract or agreement but this exclus doe not appli to liabil for damag,"liability assume under any contract or 
 agreement 
 but this exclusion do not apply to liability 
 for damage",liabil assum under ani contract or agreement but this exclus doe not appli to liabil for damag
"Assumed in a contract or agreement that
is an insured contract provided the bodily
injury or property damage occurs subsequent to the execution of the contract or
agreement or",assum in a contract or agreement that is an insur contract provid the bodili injuri or properti damag occur subsequ to the execut of the contract or agreement or,"assume in a contract or agreement that 
 be an insure contract provided the bodily 
 injury or property damage occur subsequent to the execution of the contract or 
 agreement or",assum in a contract or agreement that be an insur contract provid the bodili injuri or properti damag occur subsequ to the execut of the contract or agreement or
"Any fellow employee of the insured arising out of and in the course of the fellow
employee’s employment or while performing duties related to the conduct of
your business or",ani fellow employe of the insur aris out of and in the cours of the fellow employe employ or while perform duti relat to the conduct of your busi or,"any fellow employee of the insured arise out of and in the course of the fellow 
 employee ’s employment or while perform duty relate to the conduct of 
 your business or",ani fellow employe of the insur aris out of and in the cour of the fellow employe employ or while perform duti relat to the conduct of your busi or
The spouse child parent brother or sister of that fellow employee as a consequence of Paragraph a above,the spous child parent brother or sister of that fellow employe as a consequ of paragraph a abov,the spouse child parent brother or sister of that fellow employee as a consequence of Paragraph a above,the spous child parent brother or sister of that fellow employe as a consequ of paragraph a abov
"Workers’ Compensation
Any obligation for which the insured or the
insured’s insurer may be held liable under any
workers’ compensation disability benefits or
unemployment compensation law or any similar law",worker compens ani oblig for which the insur or the insur insur may be held liabl under ani worker compens disabl benefit or unemploy compens law or ani similar law,"worker ’ compensation 
 any obligation for which the insured or the 
 insure ’s insurer may be hold liable under any 
 worker ’ compensation disability benefit or 
 unemployment compensation law or any similar law",worker compen ani oblig for which the insur or the insur insur may be hold liabl under ani worker compen disabl benefit or unemploy compen law or ani similar law
"Property damage to or covered pollution cost
or expense involving property owned or
transported by the insured or in the insured’s",properti damag to or cover pollut cost or expens involv properti own or transport by the insur or in the insur,"property damage to or cover pollution cost 
 or expense involve property own or 
 transport by the insured or in the insure ’s",properti damag to or cover pollut cost or expen involv properti own or transport by the insur or in the insur
"care custody or control But this exclusion
does not apply to liability assumed under a
sidetrack agreement",care custodi or control but this exclus doe not appli to liabil assum under a sidetrack agreement,"care custody or control but this exclusion 
 do not apply to liability assume under a 
 sidetrack agreement",care custodi or control but this exclus doe not appli to liabil assum under a sidetrack agreement
"2 Performing the duties related to the
conduct of the insured’s business or
The spouse child parent brother or sister of that employee as a consequence of
Paragraph a above",2 perform the duti relat to the conduct of the insur busi or the spous child parent brother or sister of that employe as a consequ of paragraph a abov,"2 perform the duty relate to the 
 conduct of the insured ’s business or 
 the spouse child parent brother or sister of that employee as a consequence of 
 Paragraph a above",2 perform the duti relat to the conduct of the insur busi or the spous child parent brother or sister of that employe as a consequ of paragraph a abov
"Before it is moved from the place where
it is accepted by the insured for movement into or onto the covered auto  or",befor it is move from the place where it is accept by the insur for movement into or onto the cover auto or,"before it be move from the place where 
 it be accept by the insured for movement into or onto the cover auto   or",befor it be move from the place where it be accept by the insur for movement into or onto the cover auto or
"from the movement of property by a mechanical device other than a hand truck unless the device is attached to the covered
auto ",from the movement of properti by a mechan devic other than a hand truck unless the devic is attach to the cover auto,"from the movement of property by a mechanical device other than a hand truck unless the device be attach to the cover 
 auto",from the movement of properti by a mechan devic other than a hand truck unless the devic be attach to the cover auto
"1 Whether the insured may be liable
as an employer or in any other capacity and
2 To any obligation to share damages
with or repay someone else who
must pay damages because of the
injury",1 whether the insur may be liabl as an employ or in ani other capac and 2 to ani oblig to share damag with or repay someon els who must pay damag becaus of the injuri,"1 whether the insure may be liable 
 as an employer or in any other capacity and 
 2 to any obligation to share damage 
 with or repay someone else who 
 must pay damage because of the 
 injury",1 whether the insur may be liabl as an employ or in ani other capac and 2 to ani oblig to share damag with or repay someon el who must pay damag becaus of the injuri
"But this exclusion does not apply to bodily
injury to domestic employees not entitled to
workers’ compensation benefits or to liability
assumed by the insured under an insured contract  For the purposes of the coverage form
a domestic employee is a person engaged in
CA0001 310
Insurance Services Office Inc 2009",but this exclus doe not appli to bodili injuri to domest employe not entitl to worker compens benefit or to liabil assum by the insur under an insur contract for the purpos of the coverag form a domest employe is a person engag in ca0001 310 insur servic offic inc 2009,"but this exclusion do not apply to bodily 
 injury to domestic employee not entitle to 
 worker ’ compensation benefit or to liability 
 assume by the insure under an insure contract   for the purpose of the coverage form 
 a domestic employee be a person engage in 
 CA0001 310 
 Insurance Services Office Inc 2009",but this exclus doe not appli to bodili injuri to domest employe not entitl to worker compen benefit or to liabil assum by the insur under an insur contract for the purpos of the coverag form a domest employe be a person engag in ca0001 310 insur servic offic inc 2009
"SAMPLE
would qualify under the definition of
mobile equipment if it were not subject to
a compulsory or financial responsibility
law or other motor vehicle insurance law
where it is licensed or principally garaged",sampl would qualifi under the definit of mobil equip if it were not subject to a compulsori or financi respons law or other motor vehicl insur law where it is licens or princip garag,"SAMPLE 
 would qualify under the definition of 
 mobile equipment if it be not subject to 
 a compulsory or financial responsibility 
 law or other motor vehicle insurance law 
 where it be license or principally garage",sampl would qualifi under the definit of mobil equip if it be not subject to a compulsori or financi respon law or other motor vehicl insur law where it be licen or princip garag
"1 Being transported or towed by
handled or handled for movement
into onto or from the covered auto ",1 be transport or tow by handl or handl for movement into onto or from the cover auto,"1 be transport or tow by 
 handle or handle for movement 
 into onto or from the cover auto",1 be transport or tow by handl or handl for movement into onto or from the cover auto
"Your work includes warranties or representations made at any time with respect to the
fitness quality durability or performance of
any of the items included in Paragraph a or
b above
Your work will be deemed completed at the
earliest of the following times
1 When all of the work called for in
your contract has been completed
2 When all of the work to be done at
the site has been completed if your
contract calls for work at more than
one site
3 When that part of the work done at
a job site has been put to its
intended use by any person or organization other than another contractor or subcontractor working on
the same project
Work that may need service maintenance correction repair or replacement
but which is otherwise complete will be
treated as completed
11 Pollution
Bodily injury or property damage arising out",your work includ warranti or represent made at ani time with respect to the fit qualiti durabl or perform of ani of the item includ in paragraph a or b abov your work will be deem complet at the earliest of the follow time 1 when all of the work call for in your contract has been complet 2 when all of the work to be done at the site has been complet if your contract call for work at more than one site 3 when that part of the work done at a job site has been put to it intend use by ani person or organ other than anoth contractor or subcontractor work on the same project work that may need servic mainten correct repair or replac but which is otherwis complet will be treat as complet 11 pollut bodili injuri or properti damag aris out,"your work include warranty or representation make at any time with respect to the 
 fitness quality durability or performance of 
 any of the item include in Paragraph a or 
 b above 
 your work will be deem complete at the 
 early of the follow time 
 1 when all of the work call for in 
 your contract have be complete 
 2 when all of the work to be do at 
 the site have be complete if your 
 contract call for work at more than 
 one site 
 3 when that part of the work do at 
 a job site have be put to its 
 intend use by any person or organization other than another contractor or subcontractor work on 
 the same project 
 Work that may need service maintenance correction repair or replacement 
 but which be otherwise complete will be 
 treat as complete 
 11 Pollution 
 Bodily injury or property damage arise out",your work includ warranti or represent make at ani time with respect to the fit qualiti durabl or perform of ani of the item includ in paragraph a or b abov your work will be deem complet at the early of the follow time 1 when all of the work call for in your contract have be complet 2 when all of the work to be do at the site have be complet if your contract call for work at more than one site 3 when that part of the work do at a job site have be put to it intend use by ani person or organ other than anoth contractor or subcontractor work on the same project work that may need servic mainten correct repair or replac but which be otherwis complet will be treat as complet 11 pollut bodili injuri or properti damag aris out
"of the actual alleged or threatened discharge
dispersal seepage migration release or escape
of pollutants 
CA0001 310
Insurance Services Office Inc 2009",of the actual alleg or threaten discharg dispers seepag migrat releas or escap of pollut ca0001 310 insur servic offic inc 2009,"of the actual alleged or threaten discharge 
 dispersal seepage migration release or escape 
 of pollutant 
 CA0001 310 
 Insurance Services Office Inc 2009",of the actual alleg or threaten discharg disper seepag migrat relea or escap of pollut ca0001 310 insur servic offic inc 2009
