paragraph,stemmed,tokenized,posting_list,posting_list_stemmed
"How to Make a Claim
If you need to claim your dedicated claims team will help and guide
you through the process
You can notify us of a claim by
Telephone
Property Claims 0344 412 9988
Liability Claims 0344 893 9500
Post",how to make a claim if you need to claim your dedic claim team will help and guid you through the process you can notifi us of a claim by telephon properti claim 0344 412 9988 liabil claim 0344 893 9500 post,"how to make a claim 
 if you need to claim your dedicated claim team will help and guide 
 you through the process 
 you can notify we of a claim by 
 telephone 
 Property claim 0344 412 9988 
 Liability Claims 0344 893 9500 
 post","['0344', '0344', '412', '893', '9500', '9988', 'a', 'a', 'and', 'by', 'can', 'claim', 'claim', 'claim', 'claim', 'claim', 'claims', 'dedicated', 'guide', 'help', 'how', 'if', 'liability', 'make', 'need', 'notify', 'of', 'post', 'process', 'property', 'team', 'telephone', 'the', 'through', 'to', 'to', 'we', 'will', 'you', 'you', 'you', 'your']","['0344', '0344', '412', '893', '9500', '9988', 'a', 'a', 'and', 'by', 'can', 'claim', 'claim', 'claim', 'claim', 'claim', 'claim', 'dedic', 'guid', 'help', 'how', 'if', 'liabil', 'make', 'need', 'notifi', 'of', 'post', 'process', 'properti', 'team', 'telephon', 'the', 'through', 'to', 'to', 'us', 'will', 'you', 'you', 'you', 'your']"
"If you have a Commercial Legal Expenses claim you can notify Allianz
Legal Protection by contacting the Lawphone Legal Advice Helpline
on 0344 873 0845 quoting the five digit Master Policy Reference
shown in the Commercial Legal Expenses section in the policy
schedule
Post",if you have a commerci legal expens claim you can notifi allianz legal protect by contact the lawphon legal advic helplin on 0344 873 0845 quot the five digit master polici refer shown in the commerci legal expens section in the polici schedul post,"if you have a commercial Legal Expenses claim you can notify Allianz 
 Legal Protection by contact the Lawphone Legal Advice Helpline 
 on 0344 873 0845 quote the five digit Master Policy Reference 
 show in the Commercial Legal Expenses section in the policy 
 schedule 
 post","['0344', '0845', '873', 'a', 'advice', 'allianz', 'by', 'can', 'claim', 'commercial', 'commercial', 'contact', 'digit', 'expenses', 'expenses', 'five', 'have', 'helpline', 'if', 'in', 'in', 'lawphone', 'legal', 'legal', 'legal', 'legal', 'master', 'notify', 'on', 'policy', 'policy', 'post', 'protection', 'quote', 'reference', 'schedule', 'section', 'show', 'the', 'the', 'the', 'the', 'you', 'you']","['0344', '0845', '873', 'a', 'advic', 'allianz', 'by', 'can', 'claim', 'commerci', 'commerci', 'contact', 'digit', 'expens', 'expens', 'five', 'have', 'helplin', 'if', 'in', 'in', 'lawphon', 'legal', 'legal', 'legal', 'legal', 'master', 'notifi', 'on', 'polici', 'polici', 'post', 'protect', 'quot', 'refer', 'schedul', 'section', 'shown', 'the', 'the', 'the', 'the', 'you', 'you']"
"Our claims helpline is available 24 hours a day 7 days a week
Please try to notify Allianz of a claim promptly after the incident or immediately in the event of a serious accident loss or damage",our claim helplin is avail 24 hour a day 7 day a week pleas tri to notifi allianz of a claim prompt after the incid or immedi in the event of a serious accid loss or damag,"our claim helpline be available 24 hour a day 7 day a week 
 please try to notify Allianz of a claim promptly after the incident or immediately in the event of a serious accident loss or damage","['24', '7', 'a', 'a', 'a', 'a', 'accident', 'after', 'allianz', 'available', 'be', 'claim', 'claim', 'damage', 'day', 'day', 'event', 'helpline', 'hour', 'immediately', 'in', 'incident', 'loss', 'notify', 'of', 'of', 'or', 'or', 'our', 'please', 'promptly', 'serious', 'the', 'the', 'to', 'try', 'week']","['24', '7', 'a', 'a', 'a', 'a', 'accid', 'after', 'allianz', 'avail', 'claim', 'claim', 'damag', 'day', 'day', 'event', 'helplin', 'hour', 'immedi', 'in', 'incid', 'is', 'loss', 'notifi', 'of', 'of', 'or', 'or', 'our', 'pleas', 'prompt', 'serious', 'the', 'the', 'to', 'tri', 'week']"
"We aim to deal with your claim promptly and fairly We will update
you on the progress of your claim by email mail or by phone –
whichever you prefer",we aim to deal with your claim prompt and fair we will updat you on the progress of your claim by email mail or by phone – whichev you prefer,"we aim to deal with your claim promptly and fairly we will update 
 you on the progress of your claim by email mail or by phone – 
 whichever you prefer","['aim', 'and', 'by', 'by', 'claim', 'claim', 'deal', 'email', 'fairly', 'mail', 'of', 'on', 'or', 'phone', 'prefer', 'progress', 'promptly', 'the', 'to', 'update', 'we', 'we', 'whichever', 'will', 'with', 'you', 'you', 'your', 'your', '–']","['aim', 'and', 'by', 'by', 'claim', 'claim', 'deal', 'email', 'fair', 'mail', 'of', 'on', 'or', 'phone', 'prefer', 'progress', 'prompt', 'the', 'to', 'updat', 'we', 'we', 'whichev', 'will', 'with', 'you', 'you', 'your', 'your', '–']"
"• appoint an independent loss adjuster to deal with your claim loss
adjusters are claims specialists who investigate large or complex
claims usually at the scene of an incident to establish the cause
of the loss and assist the insurer in dealing with your claim",• appoint an independ loss adjust to deal with your claim loss adjust are claim specialist who investig larg or complex claim usual at the scene of an incid to establish the caus of the loss and assist the insur in deal with your claim,"• appoint an independent loss adjuster to deal with your claim loss 
 adjuster be claim specialist who investigate large or complex 
 claim usually at the scene of an incident to establish the cause 
 of the loss and assist the insurer in deal with your claim","['adjuster', 'adjuster', 'an', 'an', 'and', 'appoint', 'assist', 'at', 'be', 'cause', 'claim', 'claim', 'claim', 'claim', 'complex', 'deal', 'deal', 'establish', 'in', 'incident', 'independent', 'insurer', 'investigate', 'large', 'loss', 'loss', 'loss', 'of', 'of', 'or', 'scene', 'specialist', 'the', 'the', 'the', 'the', 'to', 'to', 'usually', 'who', 'with', 'with', 'your', 'your', '•']","['adjust', 'adjust', 'an', 'an', 'and', 'appoint', 'are', 'assist', 'at', 'caus', 'claim', 'claim', 'claim', 'claim', 'complex', 'deal', 'deal', 'establish', 'in', 'incid', 'independ', 'insur', 'investig', 'larg', 'loss', 'loss', 'loss', 'of', 'of', 'or', 'scene', 'specialist', 'the', 'the', 'the', 'the', 'to', 'to', 'usual', 'who', 'with', 'with', 'your', 'your', '•']"
"In addition to the above the following will apply to enable Allianz
Legal Protection to deal with a claim under the Commercial Legal
Expenses section",in addit to the abov the follow will appli to enabl allianz legal protect to deal with a claim under the commerci legal expens section,"in addition to the above the following will apply to enable Allianz 
 Legal Protection to deal with a claim under the Commercial Legal 
 expense section","['a', 'above', 'addition', 'allianz', 'apply', 'claim', 'commercial', 'deal', 'enable', 'expense', 'following', 'in', 'legal', 'legal', 'protection', 'section', 'the', 'the', 'the', 'to', 'to', 'to', 'under', 'will', 'with']","['a', 'abov', 'addit', 'allianz', 'appli', 'claim', 'commerci', 'deal', 'enabl', 'expens', 'follow', 'in', 'legal', 'legal', 'protect', 'section', 'the', 'the', 'the', 'to', 'to', 'to', 'under', 'will', 'with']"
"Name and address of injured party
• we will forward you a claim form for you to complete and sign
Description of the injury where and how it occurred
• we will require a copy of your policy schedule",name and address of injur parti • we will forward you a claim form for you to complet and sign descript of the injuri where and how it occur • we will requir a copi of your polici schedul,"name and address of injure party 
 • we will forward you a claim form for you to complete and sign 
 Description of the injury where and how it occur 
 • we will require a copy of your policy schedule","['a', 'a', 'address', 'and', 'and', 'and', 'claim', 'complete', 'copy', 'description', 'for', 'form', 'forward', 'how', 'injure', 'injury', 'it', 'name', 'occur', 'of', 'of', 'of', 'party', 'policy', 'require', 'schedule', 'sign', 'the', 'to', 'we', 'we', 'where', 'will', 'will', 'you', 'you', 'your', '•', '•']","['a', 'a', 'address', 'and', 'and', 'and', 'claim', 'complet', 'copi', 'descript', 'for', 'form', 'forward', 'how', 'injur', 'injuri', 'it', 'name', 'occur', 'of', 'of', 'of', 'parti', 'polici', 'requir', 'schedul', 'sign', 'the', 'to', 'we', 'we', 'where', 'will', 'will', 'you', 'you', 'your', '•', '•']"
"Commercial Legal Expenses Claims
Your contact information including address and telephone
numbers
Master Policy reference shown in the policy schedule
Brief summary of the problem",commerci legal expens claim your contact inform includ address and telephon number master polici refer shown in the polici schedul brief summari of the problem,"commercial Legal Expenses claim 
 your contact information include address and telephone 
 number 
 Master Policy reference show in the policy schedule 
 brief summary of the problem","['address', 'and', 'brief', 'claim', 'commercial', 'contact', 'expenses', 'in', 'include', 'information', 'legal', 'master', 'number', 'of', 'policy', 'policy', 'problem', 'reference', 'schedule', 'show', 'summary', 'telephone', 'the', 'the', 'your']","['address', 'and', 'brief', 'claim', 'commerci', 'contact', 'expens', 'in', 'includ', 'inform', 'legal', 'master', 'number', 'of', 'polici', 'polici', 'problem', 'refer', 'schedul', 'shown', 'summari', 'telephon', 'the', 'the', 'your']"
"• legal expenses are only covered from the time we have accepted
the claim and appointed the legal representative in your name
and on your behalf You must not appoint a legal representative
If you have already seen a solicitor before we have accepted your
claim we will not pay for any fees or other expenses that you have
incurred",• legal expens are onli cover from the time we have accept the claim and appoint the legal repres in your name and on your behalf you must not appoint a legal repres if you have alreadi seen a solicitor befor we have accept your claim we will not pay for ani fee or other expens that you have incur,"• legal expense be only cover from the time we have accept 
 the claim and appoint the legal representative in your name 
 and on your behalf you must not appoint a legal representative 
 if you have already see a solicitor before we have accept your 
 claim we will not pay for any fee or other expense that you have 
 incur","['a', 'a', 'accept', 'accept', 'already', 'and', 'and', 'any', 'appoint', 'appoint', 'be', 'before', 'behalf', 'claim', 'claim', 'cover', 'expense', 'expense', 'fee', 'for', 'from', 'have', 'have', 'have', 'have', 'if', 'in', 'incur', 'legal', 'legal', 'legal', 'must', 'name', 'not', 'not', 'on', 'only', 'or', 'other', 'pay', 'representative', 'representative', 'see', 'solicitor', 'that', 'the', 'the', 'the', 'time', 'we', 'we', 'we', 'will', 'you', 'you', 'you', 'your', 'your', 'your', '•']","['a', 'a', 'accept', 'accept', 'alreadi', 'and', 'and', 'ani', 'appoint', 'appoint', 'are', 'befor', 'behalf', 'claim', 'claim', 'cover', 'expens', 'expens', 'fee', 'for', 'from', 'have', 'have', 'have', 'have', 'if', 'in', 'incur', 'legal', 'legal', 'legal', 'must', 'name', 'not', 'not', 'on', 'onli', 'or', 'other', 'pay', 'repres', 'repres', 'seen', 'solicitor', 'that', 'the', 'the', 'the', 'time', 'we', 'we', 'we', 'will', 'you', 'you', 'you', 'your', 'your', 'your', '•']"
"Your insurance policy comes with a number of great features to help
keep your business up and running These additional features do not
come with standard policies and have been designed especially for
small businesses in mind",your insur polici come with a number of great featur to help keep your busi up and run these addit featur do not come with standard polici and have been design especi for small busi in mind,"your insurance policy come with a number of great feature to help 
 keep your business up and run these additional feature do not 
 come with standard policy and have be design especially for 
 small business in mind","['a', 'additional', 'and', 'and', 'be', 'business', 'business', 'come', 'come', 'design', 'do', 'especially', 'feature', 'feature', 'for', 'great', 'have', 'help', 'in', 'insurance', 'keep', 'mind', 'not', 'number', 'of', 'policy', 'policy', 'run', 'small', 'standard', 'these', 'to', 'up', 'with', 'with', 'your', 'your']","['a', 'addit', 'and', 'and', 'been', 'busi', 'busi', 'come', 'come', 'design', 'do', 'especi', 'featur', 'featur', 'for', 'great', 'have', 'help', 'in', 'insur', 'keep', 'mind', 'not', 'number', 'of', 'polici', 'polici', 'run', 'small', 'standard', 'these', 'to', 'up', 'with', 'with', 'your', 'your']"
