paragraph,stemmed,tokenized
"The Contract of Insurance
Your Policy is a contract between Us the insurers and You
the Policyholder
In return for You having paid or agreed to pay the premium
We will indemnify You by payment or at Our option by
reinstatement or repair in respect of loss destruction
damage accident or injury occurring or other insured
contingency arising during the Period of Insurance subject to
the terms conditions and exclusions contained in the Policy
and endorsed on The Schedule",the contract of insur your polici is a contract between us the insur and you the policyhold in return for you have paid or agre to pay the premium we will indemnifi you by payment or at our option by reinstat or repair in respect of loss destruct damag accid or injuri occur or other insur conting aris dure the period of insur subject to the term condit and exclus contain in the polici and endors on the schedul,"the Contract of Insurance 
 your policy be a contract between Us the insurer and you 
 the policyholder 
 in return for you having pay or agree to pay the premium 
 we will indemnify you by payment or at our option by 
 reinstatement or repair in respect of loss destruction 
 damage accident or injury occur or other insure 
 contingency arise during the Period of Insurance subject to 
 the term condition and exclusion contain in the policy 
 and endorse on the schedule"
"Important
You are required to make a fair presentation of the risk to Us
If You breach Your duty to provide a fair presentation and any
such breach was deliberate or reckless We may regard the
Policy as void and are not required to return any paid Premium
to You
If the breach was not deliberate or reckless Our remedy shall
depend upon what We would have done if You had complied
with the duty of fair presentation
1 We may regard the Policy as void if Insurers would not
have entered into the Policy on any terms in the absence of
the breach In this case We must return the premium paid
2 If We would have entered into the Policy but on different
terms other than terms relating to premium the Policy is to
be treated as if those different terms applied from the
outset if We so require
3 If We would have entered into the Policy but would have
charged a higher premium We may reduce proportionately
the amount to be paid on a claim and if applicable the
amount already paid on prior claims",import you are requir to make a fair present of the risk to us if you breach your duti to provid a fair present and ani such breach was deliber or reckless we may regard the polici as void and are not requir to return ani paid premium to you if the breach was not deliber or reckless our remedi shall depend upon what we would have done if you had compli with the duti of fair present 1 we may regard the polici as void if insur would not have enter into the polici on ani term in the absenc of the breach in this case we must return the premium paid 2 if we would have enter into the polici but on differ term other than term relat to premium the polici is to be treat as if those differ term appli from the outset if we so requir 3 if we would have enter into the polici but would have charg a higher premium we may reduc proportion the amount to be paid on a claim and if applic the amount alreadi paid on prior claim,"important 
 you be require to make a fair presentation of the risk to Us 
 if you breach your duty to provide a fair presentation and any 
 such breach be deliberate or reckless we may regard the 
 Policy as void and be not require to return any pay Premium 
 to you 
 if the breach be not deliberate or reckless our remedy shall 
 depend upon what we would have do if you have comply 
 with the duty of fair presentation 
 1 we may regard the Policy as void if Insurers would not 
 have enter into the policy on any term in the absence of 
 the breach in this case we must return the premium pay 
 2 if we would have enter into the policy but on different 
 term other than term relate to premium the policy be to 
 be treat as if those different term apply from the 
 outset if we so require 
 3 if we would have enter into the policy but would have 
 charge a high premium we may reduce proportionately 
 the amount to be pay on a claim and if applicable the 
 amount already pay on prior claim"
"Choice of Law
1 This Policy will be governed by English Law and You and
We agree to submit to the nonexclusive jurisdiction of the
courts of England and Wales unless You live in Jersey in
which case the law of Jersey will apply and the Jersey
courts will have exclusive jurisdiction",choic of law 1 this polici will be govern by english law and you and we agre to submit to the nonexclus jurisdict of the court of england and wale unless you live in jersey in which case the law of jersey will appli and the jersey court will have exclus jurisdict,"choice of Law 
 1 this policy will be govern by English Law and you and 
 we agree to submit to the nonexclusive jurisdiction of the 
 court of England and Wales unless you live in Jersey in 
 which case the law of Jersey will apply and the Jersey 
 court will have exclusive jurisdiction"
"Pen Underwriting Limited is authorised and regulated by the Financial Conduct Authority FCA number 314493 Registered Office The Walbrook Building 25 Walbrook London EC4N 8AW Registered in England and
Wales Company Number 5172311 httpwwwpenunderwritingcouk You can check this on the Financial Services Register by visiting the FCAs website wwwfcaorguk or by contacting the FCA on 0800 1116768",pen underwrit limit is authoris and regul by the financi conduct author fca number 314493 regist offic the walbrook build 25 walbrook london ec4n 8aw regist in england and wale compani number 5172311 httpwwwpenunderwritingcouk you can check this on the financi servic regist by visit the fcas websit wwwfcaorguk or by contact the fca on 0800 1116768,"Pen Underwriting Limited be authorise and regulate by the Financial Conduct Authority FCA number 314493 Registered Office the Walbrook Building 25 Walbrook London EC4N 8aw Registered in England and 
 Wales Company Number 5172311 httpwwwpenunderwritingcouk you can check this on the Financial Services Register by visit the fca website wwwfcaorguk or by contact the FCA on 0800 1116768"
"Wherever the following words or phrases appear in this Policy they
will have the meanings defined below A defined word will start
with a capital letter and be printed in bold eg You",wherev the follow word or phrase appear in this polici they will have the mean defin below a defin word will start with a capit letter and be print in bold eg you,"wherever the follow word or phrase appear in this Policy they 
 will have the meaning define below a define word will start 
 with a capital letter and be print in bold eg you"
"Any materials or devices used for the storage or representation of
Data including but not limited to disks tapes CDROMs DVDs
memory sticks memory cards or other materials or devices which
may or may not also constitute Computer and Electronic
Equipment",ani materi or devic use for the storag or represent of data includ but not limit to disk tape cdrom dvds memori stick memori card or other materi or devic which may or may not also constitut comput and electron equip,"any material or device use for the storage or representation of 
 datum include but not limit to disk tape CDROMs dvd 
 memory stick memory card or other material or device which 
 may or may not also constitute Computer and Electronic 
 equipment"
"Each Section of the Policy contains definitions They must be read
in conjunction with the following Policy Definitions",each section of the polici contain definit they must be read in conjunct with the follow polici definit,"each Section of the Policy contain definition they must be read 
 in conjunction with the follow Policy Definitions"
"Buildings
Buildings
a including Landlords fixtures and fittings walls gates fences
yards car parks road pavements outbuildings underground
pipes cables and wires belonging to You or for which You are
responsible at The Premises
b and in respect of residential buildings landlords fixtures and
fittings domestic outbuildings garages swimming pools hard
tennis courts terraces patios driveways footpaths walls
fences gates hedges interior decorations telecommunication
aerials aerial fittings masts closed circuit televisions car
parks cess pits septic tanks squash courts gymnasia used
by residents for domestic and leisure purposes street furniture
and lamp posts solar panels and turbines attached to the
buildings",build build a includ landlord fixtur and fit wall gate fenc yard car park road pavement outbuild underground pipe cabl and wire belong to you or for which you are respons at the premis b and in respect of residenti build landlord fixtur and fit domest outbuild garag swim pool hard tenni court terrac patio driveway footpath wall fenc gate hedg interior decor telecommun aerial aerial fit mast close circuit televis car park cess pit septic tank squash court gymnasia use by resid for domest and leisur purpos street furnitur and lamp post solar panel and turbin attach to the build,"building 
 building 
 a include Landlords fixture and fitting wall gate fence 
 yard car park road pavement outbuilding underground 
 pipe cable and wire belong to you or for which you be 
 responsible at the Premises 
 b and in respect of residential building landlord fixture and 
 fitting domestic outbuilding garage swimming pool hard 
 tennis court terrace patio driveway footpath wall 
 fence gate hedge interior decoration telecommunication 
 aerial aerial fitting mast close circuit television car 
 park cess pit septic tank squash court gymnasia use 
 by resident for domestic and leisure purpose street furniture 
 and lamp post solar panel and turbine attach to the 
 building"
"Computer and Electronic Equipment
All computers computer installations and systems microchips
integrated circuits microprocessors embedded systems
hardware and any electronic equipment data processing
equipment information repository telecommunication equipment
computer controlled or programmed machinery equipment
capable of processing data and or similar devices whether
physically or remotely connected thereto",comput and electron equip all comput comput instal and system microchip integr circuit microprocessor embed system hardwar and ani electron equip data process equip inform repositori telecommun equip comput control or program machineri equip capabl of process data and or similar devic whether physic or remot connect thereto,"Computer and Electronic Equipment 
 all computer computer installation and system microchip 
 integrate circuit microprocessor embed system 
 hardware and any electronic equipment datum process 
 equipment information repository telecommunication equipment 
 computer control or program machinery equipment 
 capable of process datum and or similar device whether 
 physically or remotely connect thereto"
"Denial of Service Attack
Any actions or instructions with the ability to damage interfere
with or otherwise affect the availability of Computer and
Electronic Equipment or Data including but not limited to the
generation of excess traffic into network addresses the
exploitation of system or network weaknesses and the
generation of excess or nongenuine traffic within between or
amongst networks",denial of servic attack ani action or instruct with the abil to damag interfer with or otherwis affect the avail of comput and electron equip or data includ but not limit to the generat of excess traffic into network address the exploit of system or network weak and the generat of excess or nongenuin traffic within between or amongst network,"denial of Service Attack 
 any action or instruction with the ability to damage interfere 
 with or otherwise affect the availability of Computer and 
 Electronic Equipment or Data include but not limit to the 
 generation of excess traffic into network address the 
 exploitation of system or network weakness and the 
 generation of excess or nongenuine traffic within between or 
 amongst network"
"Employee
Any person who is
1 under a contract of service or apprenticeship with You
2 borrowed by or hired to You
3 a labour master or supplied by a labour master
4 employed by labour only subcontractors
5 self employed
6 under a work experience or training scheme
7 a voluntary helper while working under Your control in
connection with The Business
8 an outworker or homeworker when engaged in work on Your
behalf",employe ani person who is 1 under a contract of servic or apprenticeship with you 2 borrow by or hire to you 3 a labour master or suppli by a labour master 4 employ by labour onli subcontractor 5 self employ 6 under a work experi or train scheme 7 a voluntari helper while work under your control in connect with the busi 8 an outwork or homework when engag in work on your behalf,"employee 
 any person who be 
 1 under a contract of service or apprenticeship with you 
 2 borrow by or hire to you 
 3 a labour master or supply by a labour master 
 4 employ by labour only subcontractor 
 5 self employ 
 6 under a work experience or training scheme 
 7 a voluntary helper while work under your control in 
 connection with the Business 
 8 an outworker or homeworker when engage in work on your 
 behalf"
"The amount or amounts shown in Your Policy or The Schedule
which We will deduct from each and every claim
You will repay any such amount paid by Us",the amount or amount shown in your polici or the schedul which we will deduct from each and everi claim you will repay ani such amount paid by us,"the amount or amount show in your Policy or the Schedule 
 which we will deduct from each and every claim 
 you will repay any such amount pay by we"
"Consequential or indirect loss that is any Damage or
additional expense which happens as a result of or is a side
effect of the event for which You are insured This includes
but is not limited to the following
a loss of revenue
b loss of earnings
c additional travel costs
d loss assessor fees
e the cost of preparing a claim
f compensation for stress or inconvenience",consequenti or indirect loss that is ani damag or addit expens which happen as a result of or is a side effect of the event for which you are insur this includ but is not limit to the follow a loss of revenu b loss of earn c addit travel cost d loss assessor fee e the cost of prepar a claim f compens for stress or inconveni,"consequential or indirect loss that be any damage or 
 additional expense which happen as a result of or be a side 
 effect of the event for which you be insure this include 
 but be not limit to the follow 
 a loss of revenue 
 b loss of earning 
 c additional travel cost 
 d loss assessor fee 
 e the cost of prepare a claim 
 f compensation for stress or inconvenience"
"Any partial or complete reduction in the
1 performance or
2 availability or
3 functionality or
4 the ability to recognise or process any date or time of any
a Computer and Electronic Equipment
b electronic means of communication
c web site",ani partial or complet reduct in the 1 perform or 2 avail or 3 function or 4 the abil to recognis or process ani date or time of ani a comput and electron equip b electron mean of communic c web site,"any partial or complete reduction in the 
 1 performance or 
 2 availability or 
 3 functionality or 
 4 the ability to recognise or process any date or time of any 
 a Computer and Electronic Equipment 
 b electronic mean of communication 
 c web site"
"Contents
Carpets domestic furniture and furnishings belonging to
You or for which You are responsible at The Premises",content carpet domest furnitur and furnish belong to you or for which you are respons at the premis,"content 
 Carpets domestic furniture and furnishing belong to 
 you or for which you be responsible at the premise"
"Cyber Vandal
The person or persons whether identified or not responsible for
or involved with creating a Virus or Similar Mechanism or a Denial
of Service Attack unauthorised access to or use of Computer and
Electronic Equipment",cyber vandal the person or person whether identifi or not respons for or involv with creat a virus or similar mechan or a denial of servic attack unauthoris access to or use of comput and electron equip,"Cyber Vandal 
 the person or person whether identify or not responsible for 
 or involve with create a Virus or similar Mechanism or a denial 
 of Service Attack unauthorised access to or use of Computer and 
 Electronic Equipment"
"Data
All information which is
1 electronically stored or
2 electronically represented or
3 contained on any current and backup disks tapes or other
materials or devices used for the storage of data",data all inform which is 1 electron store or 2 electron repres or 3 contain on ani current and backup disk tape or other materi or devic use for the storag of data,"datum 
 all information which be 
 1 electronically store or 
 2 electronically represent or 
 3 contain on any current and backup disk tape or other 
 material or device use for the storage of datum"
"Landlords Contents
Contents belonging to You or held in trust for which
You are responsible at The Premises but not
including Computer and Electronic Equipment",landlord content content belong to you or held in trust for which you are respons at the premis but not includ comput and electron equip,"landlord content 
 content belong to you or hold in trust for which 
 you be responsible at the Premises but not 
 include Computer and Electronic Equipment"
"Loss of Data
Physical or electronic or other loss or destruction or alteration or loss
of use whether permanent or temporary of or damage to Data of
whatsoever nature in whole or in part including but not limited to
Loss of Data resulting from loss or damage to Computers and
Electronic Equipment or Data Storage Materials including while
stored on Data Storage Materials",loss of data physic or electron or other loss or destruct or alter or loss of use whether perman or temporari of or damag to data of whatsoev natur in whole or in part includ but not limit to loss of data result from loss or damag to comput and electron equip or data storag materi includ while store on data storag materi,"loss of Data 
 Physical or electronic or other loss or destruction or alteration or loss 
 of use whether permanent or temporary of or damage to datum of 
 whatsoever nature in whole or in part include but not limit to 
 Loss of datum result from loss or damage to Computers and 
 Electronic Equipment or Data Storage Materials include while 
 store on Data Storage Materials"
"including but not limited to operating systems records programs
software or firmware code or series of instructions",includ but not limit to oper system record program softwar or firmwar code or seri of instruct,"include but not limit to operating system record program 
 software or firmware code or series of instruction"
"Pen Underwriting Limited is authorised and regulated by the Financial Conduct Authority FCA number 314493 Registered Office The Walbrook Building 25 Walbrook London EC4N 8AW Registered in England and
Wales Company Number 5172311 httpwwwpenunderwritingcouk You can check this on the Financial Services Register by visiting the FCAs website wwwfcaorguk or by contacting the FCA on 0800 1116768",pen underwrit limit is authoris and regul by the financi conduct author fca number 314493 regist offic the walbrook build 25 walbrook london ec4n 8aw regist in england and wale compani number 5172311 httpwwwpenunderwritingcouk you can check this on the financi servic regist by visit the fcas websit wwwfcaorguk or by contact the fca on 0800 1116768,"Pen Underwriting Limited be authorise and regulate by the Financial Conduct Authority FCA number 314493 Registered Office the Walbrook Building 25 Walbrook London EC4N 8aw Registered in England and 
 Wales Company Number 5172311 httpwwwpenunderwritingcouk you can check this on the Financial Services Register by visit the fca website wwwfcaorguk or by contact the FCA on 0800 1116768"
"Malicious Contingency
1 riot civil commotion strikers locked out workers or persons
taking part in labour disturbances
2 malicious persons other than thieves and Cyber Vandals",malici conting 1 riot civil commot striker lock out worker or person take part in labour disturb 2 malici person other than thiev and cyber vandal,"Malicious Contingency 
 1 riot civil commotion striker lock out worker or person 
 take part in labour disturbance 
 2 malicious person other than thief and Cyber vandal"
"Money
Current
1 coin bank and currency notes
2 postal and money orders bankers drafts cheques and giro
cheques
3 crossed warrants bills of exchanges and securities for money
4 postage revenue national insurance and holiday with pay
stamps
5 national insurance and holiday with pay cards national savings
certificates war bonds premium savings bonds and franking
machine impressions
6 credit company sales vouchers luncheon vouchers and trading
stamps
7 VAT invoices",money current 1 coin bank and currenc note 2 postal and money order banker draft chequ and giro chequ 3 cross warrant bill of exchang and secur for money 4 postag revenu nation insur and holiday with pay stamp 5 nation insur and holiday with pay card nation save certif war bond premium save bond and frank machin impress 6 credit compani sale voucher luncheon voucher and trade stamp 7 vat invoic,"money 
 current 
 1 coin bank and currency note 
 2 postal and money order banker draft cheque and giro 
 cheque 
 3 cross warrant bill of exchange and security for money 
 4 postage revenue national insurance and holiday with pay 
 stamp 
 5 national insurance and holiday with pay card national saving 
 certificate war bond premium saving bond and frank 
 machine impression 
 6 credit company sale voucher luncheon voucher and trade 
 stamp 
 7 vat invoice"
"Period of Insurance
From the effective date until the expiry date both shown
in The Schedule or any subsequent period for which We
accept payment for renewal of this Policy",period of insur from the effect date until the expiri date both shown in the schedul or ani subsequ period for which we accept payment for renew of this polici,"period of insurance 
 from the effective date until the expiry date both show 
 in the Schedule or any subsequent period for which we 
 accept payment for renewal of this policy"
"Resident
The owner tenant or lessee of any building and any member of their
family permanently resident with them",resid the owner tenant or lesse of ani build and ani member of their famili perman resid with them,"Resident 
 the owner tenant or lessee of any building and any member of their 
 family permanently resident with they"
"Specified Contingency
Fire
Lightning
Explosion
Aircraft and other aerial devices or articles dropped from them
Earthquake
Storm or flood
Escape of water from any tank apparatus or pipe
Falling trees
Impact
Escape of fuel from any fixed oil heating installation",specifi conting fire lightn explos aircraft and other aerial devic or articl drop from them earthquak storm or flood escap of water from ani tank apparatus or pipe fall tree impact escap of fuel from ani fix oil heat instal,"specify Contingency 
 Fire 
 Lightning 
 Explosion 
 Aircraft and other aerial device or article drop from they 
 earthquake 
 Storm or flood 
 escape of water from any tank apparatus or pipe 
 fall tree 
 impact 
 escape of fuel from any fix oil heating installation"
"The Schedule
The document which specifies details of The Policyholder The
Premises Property Insured Sums Insured Limits of
Indemnity and any Excesses Endorsements and
Conditions applying to the Policy",the schedul the document which specifi detail of the policyhold the premis properti insur sum insur limit of indemn and ani excess endors and condit appli to the polici,"the Schedule 
 the document which specify detail of the Policyholder the 
 Premises Property Insured Sums Insured Limits of 
 Indemnity and any Excesses Endorsements and 
 condition apply to the policy"
"Virus or Similar Mechanism
Program code programming instruction or any set of instructions
with the ability to damage interfere with or otherwise adversely
affect Computer and Electronic Equipment or Data whether
involving selfreplication or not including but limited to Trojan
horses worms and logic bombs",virus or similar mechan program code program instruct or ani set of instruct with the abil to damag interfer with or otherwis advers affect comput and electron equip or data whether involv selfrepl or not includ but limit to trojan hors worm and logic bomb,"Virus or Similar Mechanism 
 Program code programming instruction or any set of instruction 
 with the ability to damage interfere with or otherwise adversely 
 affect Computer and Electronic Equipment or Data whether 
 involve selfreplication or not include but limited to Trojan 
 horse worm and logic bomb"
"WeUsOur
The insurers whose identity is stated in the Endorsement
entitled Identity of Insurers shown in The Schedule",weusour the insur whose ident is state in the endors entitl ident of insur shown in the schedul,"WeUsOur 
 the insurer whose identity be state in the Endorsement 
 entitle Identity of Insurers show in the schedule"
"YouYourThe Policyholder
The persons companies partnerships or unincorporated
associations named in The Schedule as The Policyholder",youyourth policyhold the person compani partnership or unincorpor associ name in the schedul as the policyhold,"YouYourThe policyholder 
 the person company partnership or unincorporated 
 association name in the Schedule as the policyholder"
