paragraph,stemmed,tokenized
"1	Your Contribution as shown in the Schedule
2	Damage caused solely by change in the Water Table Level
3	Damage caused by frost Subsidence Ground Heave or Landslip
4	Damage caused to fences gates hedges trees plants shrubs and
turf unless there is Damage to structural parts of the Building at the
same time",1 your contribut as shown in the schedul 2 damag caus sole by chang in the water tabl level 3 damag caus by frost subsid ground heav or landslip 4 damag caus to fenc gate hedg tree plant shrub and turf unless there is damag to structur part of the build at the same time,"1 	 your contribution as show in the Schedule 
 2 	 damage cause solely by change in the Water Table Level 
 3 	 damage cause by frost Subsidence Ground Heave or Landslip 
 4 	 damage cause to fence gate hedge tree plant shrub and 
 turf unless there be damage to structural part of the building at the 
 same time"
"1	Your Contribution as shown in the Schedule
2	Damage by water discharged or leaking from an automatic sprinkler
installation
3	Damage to Buildings and Landlord’s Contents of Residential
Properties which have been Unoccupied for over 45 consecutive days",1 your contribut as shown in the schedul 2 damag by water discharg or leak from an automat sprinkler instal 3 damag to build and landlord content of residenti properti which have been unoccupi for over 45 consecut day,"1 	 your contribution as show in the Schedule 
 2 	 damage by water discharge or leak from an automatic sprinkler 
 installation 
 3 	 damage to Buildings and Landlord ’s Contents of residential 
 property which have be unoccupied for over 45 consecutive day"
"A	any vehicle or animal
B	aircraft or other aerial devices or articles dropped from them
6	Accidental escape of water from any automatic sprinkler installation",a ani vehicl or anim b aircraft or other aerial devic or articl drop from them 6 accident escap of water from ani automat sprinkler instal,"a 	 any vehicle or animal 
 B 	 aircraft or other aerial device or article drop from they 
 6 	 accidental escape of water from any automatic sprinkler installation"
"1	Your Contribution as shown in the Schedule
2	Escape caused by freezing or unfreezing of the installation or any
part of it in any Building which is Unoccupied",1 your contribut as shown in the schedul 2 escap caus by freez or unfreez of the instal or ani part of it in ani build which is unoccupi,"1 	 your contribution as show in the Schedule 
 2 	 escape cause by freeze or unfreezing of the installation or any 
 part of it in any building which be unoccupied"
"2	Damage which You can recover from another source
3	Damage to Buildings of Residential Properties
A	caused by Residents or their guests to the Residential
Property in which the Resident lives
B	which have been Unoccupied for over 45 consecutive days
4",2 damag which you can recov from anoth sourc 3 damag to build of residenti properti a caus by resid or their guest to the residenti properti in which the resid live b which have been unoccupi for over 45 consecut day 4,"2 	 damage which you can recover from another source 
 3 	 damage to building of Residential Properties 
 A 	 cause by resident or their guest to the residential 
 property in which the Resident live 
 B 	 which have be unoccupied for over 45 consecutive day 
 4"
"Damage to Landlord’s Contents
A	which does not involve forcible entry into or exit from the
Residential Property or nonresidential Building
B	in Residential Properties which have been Unoccupied for
over 45 consecutive days",damag to landlord content a which doe not involv forcibl entri into or exit from the residenti properti or nonresidenti build b in residenti properti which have been unoccupi for over 45 consecut day,"damage to Landlord ’s content 
 a 	 which do not involve forcible entry into or exit from the 
 Residential Property or nonresidential Building 
 B 	 in Residential property which have be unoccupied for 
 over 45 consecutive day"
"1	Your Contribution as shown in the Schedule
2	Damage arising from the settlement or movement of madeup
ground or by coastal erosion or erosion by any water course
3	Damage occurring as a result of the construction demolition
structural alteration or structural repair of Buildings or any
groundwork or excavation at the Premises
4	Damage arising from normal settlement or bedding down of new
structures
5	Damage to outbuildings car parks drives roads pavements
footpaths patios terraces swimming pools tennis courts squash
courts walls fences gates and hedges unless there is Damage to
structural parts of the Building at the same time
6	Damage to solid floors of residential Buildings or caused because
solid floors have moved unless the walls of such Property are
damaged by the same cause and at the same time
7	Damage caused by or arising from faulty workmanship design or
materials
8	Damage commencing prior to the granting of cover under this
Insurance",1 your contribut as shown in the schedul 2 damag aris from the settlement or movement of madeup ground or by coastal eros or eros by ani water cours 3 damag occur as a result of the construct demolit structur alter or structur repair of build or ani groundwork or excav at the premis 4 damag aris from normal settlement or bed down of new structur 5 damag to outbuild car park drive road pavement footpath patio terrac swim pool tenni court squash court wall fenc gate and hedg unless there is damag to structur part of the build at the same time 6 damag to solid floor of residenti build or caus becaus solid floor have move unless the wall of such properti are damag by the same caus and at the same time 7 damag caus by or aris from faulti workmanship design or materi 8 damag commenc prior to the grant of cover under this insur,"1 	 your contribution as show in the Schedule 
 2 	 damage arise from the settlement or movement of madeup 
 ground or by coastal erosion or erosion by any water course 
 3 	 damage occur as a result of the construction demolition 
 structural alteration or structural repair of building or any 
 groundwork or excavation at the Premises 
 4 	 damage arise from normal settlement or bed down of new 
 structure 
 5 	 damage to outbuilding car park drive road pavement 
 footpath patio terrace swimming pool tennis court squash 
 court wall fence gate and hedge unless there be damage to 
 structural part of the building at the same time 
 6 	 damage to solid floor of residential building or cause because 
 solid floor have move unless the wall of such property be 
 damage by the same cause and at the same time 
 7 	 damage cause by or arise from faulty workmanship design or 
 material 
 8 	 damage commencing prior to the granting of cover under this 
 insurance"
"1	Your Contribution as shown in the Schedule
2	Damage by any of the Events 1 – 9 or the causes shown under ‘What
is not covered’ for each of these Events whether or not insured
3",1 your contribut as shown in the schedul 2 damag by ani of the event 1 – 9 or the caus shown under what is not cover for each of these event whether or not insur 3,"1 	 your contribution as show in the Schedule 
 2 	 damage by any of the event 1 – 9 or the cause show under ' what 
 be not cover ' for each of these Events whether or not insure 
 3"
"Damage caused by
A	its own faulty or defective design or materials
B	inherent vice latent defect wear and tear gradual deterioration
or any gradually operating cause or
C	faulty or defective workmanship by You or Your Employees",damag caus by a it own faulti or defect design or materi b inher vice latent defect wear and tear gradual deterior or ani gradual oper caus or c faulti or defect workmanship by you or your employe,"damage cause by 
 A 	 its own faulty or defective design or material 
 B 	 inherent vice latent defect wear and tear gradual deterioration 
 or any gradually operating cause or 
 c 	 faulty or defective workmanship by you or your employee"
"Damage caused by
A	corrosion rust wet or dry rot shrinkage dampness dryness
marring scratching vermin pests or insects
B	joint leakage failure of welds cracking fracturing collapse or
overheating of boilers economisers superheaters pressure
vessels or any range of connected steam and feed piping
C	mechanical or electrical breakdown or derangement in respect
of the particular machine apparatus or equipment in which the
breakdown or derangement originates
but not
i	such Damage which itself results from other Damage which is
covered by this Insurance
ii	subsequent Damage which itself results from an insured Event",damag caus by a corros rust wet or dri rot shrinkag damp dryness mar scratch vermin pest or insect b joint leakag failur of weld crack fractur collaps or overh of boiler economis superheat pressur vessel or ani rang of connect steam and feed pipe c mechan or electr breakdown or derang in respect of the particular machin apparatus or equip in which the breakdown or derang origin but not i such damag which itself result from other damag which is cover by this insur ii subsequ damag which itself result from an insur event,"damage cause by 
 A 	 corrosion rust wet or dry rot shrinkage dampness dryness 
 mar scratching vermin pest or insect 
 B 	 joint leakage failure of weld crack fracturing collapse or 
 overheating of boiler economiser superheater pressure 
 vessel or any range of connected steam and feed pipe 
 c 	 mechanical or electrical breakdown or derangement in respect 
 of the particular machine apparatus or equipment in which the 
 breakdown or derangement originate 
 but not 
 I 	 such damage which itself result from other damage which be 
 cover by this Insurance 
 ii 	 subsequent damage which itself result from an insured event"
"5	Damage caused by pollution or contamination unless resulting from
a sudden identifiable unintended and unexpected cause which
occurs in its entirety at a specific moment in time and place during
the Period of Insurance and which is not otherwise excluded
6	Damage to any Buildings or structure caused by its own collapse
or cracking unless resulting from a sudden identifiable and
unexplained cause which occurs in its entirety at a specific moment
in time and place during any one Period of Insurance and which
does not result from
A	any Buildings being built demolished or undergoing structural
alteration or repair
B	groundworks or excavation works
and is not otherwise excluded
7	Damage caused by disappearance or unexplained loss
8	Damage to Buildings and Landlord’s Contents of Residential
Properties which have been Unoccupied for over
45 consecutive days",5 damag caus by pollut or contamin unless result from a sudden identifi unintend and unexpect caus which occur in it entireti at a specif moment in time and place dure the period of insur and which is not otherwis exclud 6 damag to ani build or structur caus by it own collaps or crack unless result from a sudden identifi and unexplain caus which occur in it entireti at a specif moment in time and place dure ani one period of insur and which doe not result from a ani build be built demolish or undergo structur alter or repair b groundwork or excav work and is not otherwis exclud 7 damag caus by disappear or unexplain loss 8 damag to build and landlord content of residenti properti which have been unoccupi for over 45 consecut day,"5 	 damage cause by pollution or contamination unless result from 
 a sudden identifiable unintended and unexpected cause which 
 occur in its entirety at a specific moment in time and place during 
 the Period of Insurance and which be not otherwise exclude 
 6 	 damage to any Buildings or structure cause by its own collapse 
 or crack unless result from a sudden identifiable and 
 unexplained cause which occur in its entirety at a specific moment 
 in time and place during any one Period of Insurance and which 
 do not result from 
 A 	 any building be build demolish or undergo structural 
 alteration or repair 
 B 	 groundwork or excavation work 
 and be not otherwise exclude 
 7 	 damage cause by disappearance or unexplained loss 
 8 	 damage to Buildings and Landlord ’s Contents of residential 
 property which have be unoccupied for over 
 45 consecutive day"
"The costs incurred by You in refilling fire extinguishing appliances
replacing used sprinkler heads and resetting fire or intruder alarms
solely as a result of Damage by any of the insured Events 1 to 10 of
this Insurance",the cost incur by you in refil fire extinguish applianc replac use sprinkler head and reset fire or intrud alarm sole as a result of damag by ani of the insur event 1 to 10 of this insur,"the cost incur by you in refill fire extinguish appliance 
 replace use sprinkler head and reset fire or intruder alarm 
 solely as a result of damage by any of the insured event 1 to 10 of 
 this insurance"
"A repairing Damage to landscaped gardens and grounds caused
by the emergency services when attending the Premises",a repair damag to landscap garden and ground caus by the emerg servic when attend the premis,"a repair damage to landscape garden and ground cause 
 by the emergency service when attend the premise"
"as a result of Damage by any of the insured Events 1 to 10 of this
Insurance
3	Trace and Access and Repair or Replacement
Damage occurring as a result of escape of water or oil as insured by
Events 4 and 6 including
A the costs necessarily incurred in locating the source of
such Damage
B",as a result of damag by ani of the insur event 1 to 10 of this insur 3 trace and access and repair or replac damag occur as a result of escap of water or oil as insur by event 4 and 6 includ a the cost necessarili incur in locat the sourc of such damag b,"as a result of damage by any of the insured event 1 to 10 of this 
 insurance 
 3 	 Trace and Access and Repair or replacement 
 damage occur as a result of escape of water or oil as insure by 
 Events 4 and 6 include 
 a the cost necessarily incur in locate the source of 
 such damage 
 b"
"1	Your Contribution as shown in the Schedule
2	Any amount in excess of £50000 any one Event
3	Damage occurring in Residential Properties which have been
Unoccupied for over 45 consecutive days",1 your contribut as shown in the schedul 2 ani amount in excess of £50000 ani one event 3 damag occur in residenti properti which have been unoccupi for over 45 consecut day,"1 	 your contribution as show in the Schedule 
 2 	 any amount in excess of £ 50000 any one event 
 3 	 damage occur in Residential property which have be 
 unoccupied for over 45 consecutive day"
"the costs necessarily incurred in repairing and making good any
Damage caused in locating the source of the Damage",the cost necessarili incur in repair and make good ani damag caus in locat the sourc of the damag,"the cost necessarily incur in repair and make good any 
 damage cause in locate the source of the damage"
"C the costs of repairing or replacing tanks apparatus pipes or
appliances which have been damaged by freezing
4",c the cost of repair or replac tank apparatus pipe or applianc which have been damag by freez 4,"c the cost of repair or replace tank apparatus pipe or 
 appliance which have be damage by freeze 
 4"
"The costs incurred in
A any necessary boarding up or temporary glazing in order to
secure the Premises pending replacement of broken glass if a
replacement cannot be made at the same time
B",the cost incur in a ani necessari board up or temporari glaze in order to secur the premis pend replac of broken glass if a replac cannot be made at the same time b,"the cost incur in 
 A any necessary boarding up or temporary glazing in order to 
 secure the Premises pende replacement of broken glass if a 
 replacement can not be make at the same time 
 b"
"Additional Sprinkler Costs
The costs incurred in upgrading an automatic sprinkler installation
to current LPC Rules solely as imposed upon You by Us after
Damage to Your Buildings by any of the insured Events 1 –10 of
this Insurance
provided that at the time of Damage the installation conformed to
the 28th or 29th Edition Rules or to LPC Rules current at the time
of installation but did not conform to subsequent amendments to
those Rules",addit sprinkler cost the cost incur in upgrad an automat sprinkler instal to current lpc rule sole as impos upon you by us after damag to your build by ani of the insur event 1 –10 of this insur provid that at the time of damag the instal conform to the 28th or 29th edit rule or to lpc rule current at the time of instal but did not conform to subsequ amend to those rule,"additional Sprinkler cost 
 the cost incur in upgrade an automatic sprinkler installation 
 to current LPC Rules solely as impose upon you by we after 
 damage to your building by any of the insured event 1 – 10 of 
 this insurance 
 provide that at the time of damage the installation conform to 
 the 28th or 29th Edition Rules or to LPC Rules current at the time 
 of installation but do not conform to subsequent amendment to 
 those rule"
"The costs necessarily incurred in replacing the locks or changing parts
of the locks if the keys to the Buildings or to any safe or strongroom
in Your Premises are stolen or there is reasonable evidence that the
keys have been duplicated by an unauthorised person
7	Insurance Premiums",the cost necessarili incur in replac the lock or chang part of the lock if the key to the build or to ani safe or strongroom in your premis are stolen or there is reason evid that the key have been duplic by an unauthoris person 7 insur premium,"the cost necessarily incur in replace the lock or change part 
 of the lock if the key to the Buildings or to any safe or strongroom 
 in your Premises be steal or there be reasonable evidence that the 
 key have be duplicate by an unauthorised person 
 7 	 Insurance premium"
"The cost of any insurance premiums or Technical Agent’s fees
in respect of Latent Defects Policies incurred by You with Our
consent in arranging contract works insurance policies with Us or
in continuing preexisting Latent Defects policies following Damage
to the Buildings by any of the insured Events 1 10 of this Insurance
8	Unauthorised Use of Electricity Gas or Water
The cost of metered electricity gas or water for which You are
legally responsible arising from its unauthorised use by persons
taking possession keeping possession or occupying the Buildings
without Your authority",the cost of ani insur premium or technic agent fee in respect of latent defect polici incur by you with our consent in arrang contract work insur polici with us or in continu preexist latent defect polici follow damag to the build by ani of the insur event 1 10 of this insur 8 unauthoris use of electr gas or water the cost of meter electr gas or water for which you are legal respons aris from it unauthoris use by person take possess keep possess or occupi the build without your author,"the cost of any insurance premium or Technical Agent ’s fee 
 in respect of Latent Defects Policies incur by you with our 
 consent in arrange contract work insurance policy with Us or 
 in continue preexist Latent Defects policy follow damage 
 to the Buildings by any of the insured Events 1 10 of this Insurance 
 8 	 unauthorised use of Electricity Gas or water 
 the cost of meter electricity gas or water for which you be 
 legally responsible arise from its unauthorised use by person 
 take possession keep possession or occupy the building 
 without your authority"
"Costs incurred unless
A the Buildings including any individual Residential Properties
have been inspected weekly by You or a responsible person on
Your behalf prior to the unauthorised occupation
of the Premises
B",cost incur unless a the build includ ani individu residenti properti have been inspect week by you or a respons person on your behalf prior to the unauthoris occup of the premis b,"cost incur unless 
 A the building include any individual Residential property 
 have be inspect weekly by you or a responsible person on 
 your behalf prior to the unauthorised occupation 
 of the Premises 
 b"
"all practicable steps are taken to terminate such unauthorised
occupation and use of the electricity gas or water as soon as it
is discovered",all practic step are taken to termin such unauthoris occup and use of the electr gas or water as soon as it is discov,"all practicable step be take to terminate such unauthorised 
 occupation and use of the electricity gas or water as soon as it 
 be discover"
"The additional gas and metered water charges incurred by You as
a result of Damage caused by any of the insured Events 110 of
this Insurance",the addit gas and meter water charg incur by you as a result of damag caus by ani of the insur event 110 of this insur,"the additional gas and meter water charge incur by you as 
 a result of Damage cause by any of the insured Events 110 of 
 this insurance"
"The amount payable shall be ascertained by comparing the charge
made by the gas or water suppliers on their accounts for the period
during which the loss occurred with the normal charge but adjusted
for any relevant factors affecting Your liability for metered water
charges during such period
10	Removal of Nests
The cost of removing any wasps or bees nests from the Buildings",the amount payabl shall be ascertain by compar the charg made by the gas or water supplier on their account for the period dure which the loss occur with the normal charg but adjust for ani relev factor affect your liabil for meter water charg dure such period 10 remov of nest the cost of remov ani wasp or bee nest from the build,"the amount payable shall be ascertain by compare the charge 
 make by the gas or water supplier on their account for the period 
 during which the loss occur with the normal charge but adjust 
 for any relevant factor affect your liability for meter water 
 charge during such period 
 10 	 Removal of Nests 
 the cost of remove any wasp or bee nest from the building"
"3	Any loss for which remedial action has not been taken within 14
days of the discovery of the Damage
4	Costs relating to Residential Properties which have been
Unoccupied for over 45 consecutive days",3 ani loss for which remedi action has not been taken within 14 day of the discoveri of the damag 4 cost relat to residenti properti which have been unoccupi for over 45 consecut day,"3 	 any loss for which remedial action have not be take within 14 
 day of the discovery of the Damage 
 4 	 cost relate to Residential property which have be 
 unoccupied for over 45 consecutive day"
"1	Your Contribution as shown in the Schedule
2	The cost of removal of any nests already in the Buildings before
Your Insurance cover commences
3	Any amount in excess of £5000 in any one Period of Insurance",1 your contribut as shown in the schedul 2 the cost of remov of ani nest alreadi in the build befor your insur cover commenc 3 ani amount in excess of £5000 in ani one period of insur,"1 	 your contribution as show in the Schedule 
 2 	 the cost of removal of any nest already in the Buildings before 
 your insurance cover commence 
 3 	 any amount in excess of £ 5000 in any one Period of insurance"
"11	Tree Felling and Lopping
The cost of removing or lopping any trees which are an immediate
threat to the safety of life or Property",11 tree fell and lop the cost of remov or lop ani tree which are an immedi threat to the safeti of life or properti,"11 	 Tree Felling and Lopping 
 the cost of remove or lop any tree which be an immediate 
 threat to the safety of life or property"
"1	Your Contribution as shown in the Schedule
2	Any costs You have to pay solely in order to comply with a
Preservation Order
3	Any amount in excess of £2500 in any one Period of Insurance",1 your contribut as shown in the schedul 2 ani cost you have to pay sole in order to compli with a preserv order 3 ani amount in excess of £2500 in ani one period of insur,"1 	 your contribution as show in the Schedule 
 2 	 any cost you have to pay solely in order to comply with a 
 Preservation order 
 3 	 any amount in excess of £ 2500 in any one Period of insurance"
"12	Temporary Removal
Damage to fixtures and fittings or other Property insured under
Buildings and if included Landlord’s Contents whilst temporarily
removed from the Premises to any location or whilst in transit for
cleaning renovation or repair or other similar purposes",12 temporari remov damag to fixtur and fit or other properti insur under build and if includ landlord content whilst temporarili remov from the premis to ani locat or whilst in transit for clean renov or repair or other similar purpos,"12 	 Temporary Removal 
 damage to fixture and fitting or other property insure under 
 Buildings and if include Landlord ’s Contents whilst temporarily 
 remove from the Premises to any location or whilst in transit for 
 clean renovation or repair or other similar purpose"
"1	Any Property that is insured on another policy
2	Damage by theft or attempted theft from any building that does not
involve forcible entry into or exit from the building
3	Any amount in excess of £50000 any one loss
4	Damage occurring outside Great Britain Northern Ireland the
Channel Islands or the Isle of Man",1 ani properti that is insur on anoth polici 2 damag by theft or attempt theft from ani build that doe not involv forcibl entri into or exit from the build 3 ani amount in excess of £50000 ani one loss 4 damag occur outsid great britain northern ireland the channel island or the isl of man,"1 	 any property that be insure on another policy 
 2 	 damage by theft or attempt theft from any building that do not 
 involve forcible entry into or exit from the building 
 3 	 any amount in excess of £ 50000 any one loss 
 4 	 damage occur outside Great Britain Northern Ireland the 
 Channel Islands or the Isle of Man"
