paragraph,stemmed,tokenized
"Through this number Arch Policyholders have 24 hour access to legal advice on numerous topics including tax employment
issues and health and safety issues The advice covers businessrelated legal matters within EU law and tax matters within
the UK Your query will be dealt with by a qualified specialist experienced in handling legal and taxrelated matters Use of this
service does not constitute reporting of a claim",through this number arch policyhold have 24 hour access to legal advic on numer topic includ tax employ issu and health and safeti issu the advic cover businessrel legal matter within eu law and tax matter within the uk your queri will be dealt with by a qualifi specialist experienc in handl legal and taxrel matter use of this servic doe not constitut report of a claim,"through this number Arch Policyholders have 24 hour access to legal advice on numerous topic include tax employment 
 issue and health and safety issue the advice cover businessrelate legal matter within EU law and tax matter within 
 the UK your query will be deal with by a qualified specialist experience in handle legal and taxrelate matter Use of this 
 service do not constitute reporting of a claim"
"This helpline is accessible by Your staff providing professional confidential support The counselling can be used for any
aspect of their life and is not restricted to workrelated matters",this helplin is access by your staff provid profession confidenti support the counsel can be use for ani aspect of their life and is not restrict to workrel matter,"this helpline be accessible by your staff provide professional confidential support the counselling can be use for any 
 aspect of their life and be not restrict to workrelated matter"
"Where you need help to respond to negative publicity or media attention you can access professional public relations support
and crisis communication support You are insured against the cost of crisis communication services under Insured event 11 of
your Business Legal Expenses cover when you use this helpline",where you need help to respond to negat public or media attent you can access profession public relat support and crisi communic support you are insur against the cost of crisi communic servic under insur event 11 of your busi legal expens cover when you use this helplin,"where you need help to respond to negative publicity or medium attention you can access professional public relation support 
 and crisis communication support you be insure against the cost of crisis communication service under insured event 11 of 
 your Business Legal Expenses cover when you use this helpline"
"In relation to the Essential Business Legal Expenses cover We can arrange for specialist advice if you are planning
redundancies This will assist you to implement a fair selection process and ensure that the redundancy notices are correctly
served This service is available between 9am and 5pm on weekdays except bank holidays subject to a charge",in relat to the essenti busi legal expens cover we can arrang for specialist advic if you are plan redund this will assist you to implement a fair select process and ensur that the redund notic are correct serv this servic is avail between 9am and 5pm on weekday except bank holiday subject to a charg,"in relation to the Essential Business Legal Expenses cover we can arrange for specialist advice if you be plan 
 redundancy this will assist you to implement a fair selection process and ensure that the redundancy notice be correctly 
 serve this service be available between 9 am and 5 pm on weekday except bank holiday subject to a charge"
"By choosing Arch Insurance UK Limited you also have free access to business support via wwwaraglegalcouk The
Business Legal Services website provides the essential tools and services to prepare vital paperwork for example your
Health  Safety Policy up to date employment legal procedures advice on management and recovery of debts
Register today at wwwaraglegalcouk and enter the voucher code shown on your policy schedule to access the law guide
and download legal documents to help with commercial legal matters For a fee you can have your documents reviewed by a
solicitor to ensure they meet your specific requirements",by choos arch insur uk limit you also have free access to busi support via wwwaraglegalcouk the busi legal servic websit provid the essenti tool and servic to prepar vital paperwork for exampl your health safeti polici up to date employ legal procedur advic on manag and recoveri of debt regist today at wwwaraglegalcouk and enter the voucher code shown on your polici schedul to access the law guid and download legal document to help with commerci legal matter for a fee you can have your document review by a solicitor to ensur they meet your specif requir,"by choose Arch Insurance UK Limited you also have free access to business support via wwwaraglegalcouk the 
 Business Legal Services website provide the essential tool and service to prepare vital paperwork for example your 
 Health   Safety policy up to date employment legal procedure advice on management and recovery of debt 
 Register today at wwwaraglegalcouk and enter the voucher code show on your policy schedule to access the law guide 
 and download legal document to help with commercial legal matter for a fee you can have your document review by a 
 solicitor to ensure they meet your specific requirement"
"How to Complain
If You have an enquiry arising from Your Policy please contact Your insurance agent who arranged the Policy for You or the
local Arch office quoting the Policy number in all cases
If You have a complaint arising from Your Policy please contact
Complaints Manager
Arch Insurance Company UK  Limited
5th Floor
Plantation Place South
60 Great Tower Street
London EC3R 5AZ
complaintsarchinsurancecouk
After this action if You are still not satisfied with the way a complaint has been dealt with Your complaint may also be referred
to the Financial Ombudsman Service The address is
Financial Ombudsman Service
Exchange Tower
London E14 9SR
wwwfinancialombudsmanorguk
Telephone 0800 023 4567 0300 123 9 123
Fax 020 7964 1001
Email complaintinfofinancialombudsmanorguk
Following the complaints procedure does not affect Your rights to take legal proceedings",how to complain if you have an enquiri aris from your polici pleas contact your insur agent who arrang the polici for you or the local arch offic quot the polici number in all case if you have a complaint aris from your polici pleas contact complaint manag arch insur compani uk limit 5th floor plantat place south 60 great tower street london ec3r 5az complaintsarchinsurancecouk after this action if you are still not satisfi with the way a complaint has been dealt with your complaint may also be refer to the financi ombudsman servic the address is financi ombudsman servic exchang tower london e14 9sr wwwfinancialombudsmanorguk telephon 0800 023 4567 0300 123 9 123 fax 020 7964 1001 email complaintinfofinancialombudsmanorguk follow the complaint procedur doe not affect your right to take legal proceed,"how to complain 
 if you have an enquiry arise from your policy please contact your insurance agent who arrange the policy for you or the 
 local arch office quote the policy number in all case 
 if you have a complaint arise from your policy please contact 
 Complaints Manager 
 Arch Insurance Company UK   Limited 
 5th Floor 
 Plantation Place South 
 60 Great Tower Street 
 London EC3R 5az 
 complaintsarchinsurancecouk 
 after this action if you be still not satisfied with the way a complaint have be deal with your complaint may also be refer 
 to the Financial Ombudsman Service the address be 
 Financial Ombudsman Service 
 Exchange Tower 
 London E14 9sr 
 wwwfinancialombudsmanorguk 
 Telephone 0800 023 4567 0300 123 9 123 
 Fax 020 7964 1001 
 Email complaintinfofinancialombudsmanorguk 
 follow the complaint procedure do not affect your right to take legal proceeding"
"Financial Services Compensation Scheme
Arch Insurance Company UK  Limited and the insurers of this policy are covered by the Financial Services Compensation
Scheme FSCS
If we are unable to meet our obligations you may be entitled to compensation from the scheme depending on the type of
insurance and the circumstances of the claim
Further information is available from the FSCS at wwwfscsorguk",financi servic compens scheme arch insur compani uk limit and the insur of this polici are cover by the financi servic compens scheme fscs if we are unabl to meet our oblig you may be entitl to compens from the scheme depend on the type of insur and the circumst of the claim further inform is avail from the fscs at wwwfscsorguk,"Financial Services Compensation Scheme 
 Arch Insurance Company UK   Limited and the insurer of this policy be cover by the Financial Services Compensation 
 Scheme fscs 
 if we be unable to meet our obligation you may be entitle to compensation from the scheme depend on the type of 
 insurance and the circumstance of the claim 
 further information be available from the fscs at wwwfscsorguk"
"Important Information
The Employers Liability Compulsory Insurance Regulations 1998 lay down certain obligations for employers and in particular
You should be aware of the following
Display of Certificates
We will provide You with a Certificate of Employers Liability Insurance and this will state clearly the companies covered by
it You must display either an original copy or make available a copy of the Certificate of Employers Liability Insurance in an
electronic format at each Business Premises where Your Employees can see it easily
Retention of Certificates
The Employers’ Liability Compulsory Insurance Amendment Regulations 2008 remove the requirement for You to retain
copies of Certificates of Employers Liability Insurance that have expired for at least 40 years  However it is still good business
practice to retain the Certificates because certain claims eg disease could be made many years after the disease is caused
and if Your insurer can not be identified You could be liable for any payments",import inform the employ liabil compulsori insur regul 1998 lay down certain oblig for employ and in particular you should be awar of the follow display of certif we will provid you with a certif of employ liabil insur and this will state clear the compani cover by it you must display either an origin copi or make avail a copi of the certif of employ liabil insur in an electron format at each busi premis where your employe can see it easili retent of certif the employ liabil compulsori insur amend regul 2008 remov the requir for you to retain copi of certif of employ liabil insur that have expir for at least 40 year howev it is still good busi practic to retain the certif becaus certain claim eg diseas could be made mani year after the diseas is caus and if your insur can not be identifi you could be liabl for ani payment,"important information 
 the Employers Liability Compulsory Insurance Regulations 1998 lie down certain obligation for employer and in particular 
 you should be aware of the follow 
 Display of Certificates 
 we will provide you with a Certificate of Employers Liability Insurance and this will state clearly the company cover by 
 it you must display either an original copy or make available a copy of the Certificate of Employers Liability Insurance in an 
 electronic format at each Business Premises where your employee can see it easily 
 Retention of Certificates 
 the Employers ' Liability Compulsory Insurance Amendment Regulations 2008 remove the requirement for you to retain 
 copy of Certificates of Employers Liability Insurance that have expire for at least 40 year   however it be still good business 
 practice to retain the Certificates because certain claim eg disease could be make many year after the disease be cause 
 and if your insurer can not be identify you could be liable for any payment"
"Fair Processing Notice
The privacy and security of your information is important to us This notice explains who we are the types of information we
hold how we use it who we share it with and how long we keep it It also informs you of certain rights you have regarding your
personal information under current data protection law The terms used in this Fair Processing Notice relate to the Information
Commissioner’s Office guidance
Who are we
Arch Insurance Company UK  Limited which is part of the Arch Insurance group “Arch” Arch is the Data Controller of the
information you provide us and is registered with the Information Commissioner’s Office for the products and services we
provide to you
You can contact us for general data protection queries by email to DPOarchinsurancecouk or in writing to Compliance
Team 5th Floor Plantation Place South 60 Great Tower Street London EC3R 5AZ Please advise us of as much detail as
possible to comply with your request
What information do we collect
We will collect personal information which may include your name telephone number email address postal address
occupation date of birth additional details of risks related to your enquiry or product and payment details including bank
account number and sort code which we need to offer and provide the service or product or deal with a claim
We may need to request and collect sensitive personal information such as details of convictions or medical history that are
necessary for providing you with the product service or for processing a claim
We only collect and process sensitive personal data where it is critical for the delivery of a product or service and without
which the product or service cannot be provided We will therefore not seek explicit consent to process this information as the
processing is legitimised by its criticality to the service provision If you object to use of this information then we will be unable
to offer you the product or service requested
How do we use your personal information
We will use your personal information to
•",fair process notic the privaci and secur of your inform is import to us this notic explain who we are the type of inform we hold how we use it who we share it with and how long we keep it it also inform you of certain right you have regard your person inform under current data protect law the term use in this fair process notic relat to the inform commission offic guidanc who are we arch insur compani uk limit which is part of the arch insur group “arch” arch is the data control of the inform you provid us and is regist with the inform commission offic for the product and servic we provid to you you can contact us for general data protect queri by email to dpoarchinsurancecouk or in write to complianc team 5th floor plantat place south 60 great tower street london ec3r 5az pleas advis us of as much detail as possibl to compli with your request what inform do we collect we will collect person inform which may includ your name telephon number email address postal address occup date of birth addit detail of risk relat to your enquiri or product and payment detail includ bank account number and sort code which we need to offer and provid the servic or product or deal with a claim we may need to request and collect sensit person inform such as detail of convict or medic histori that are necessari for provid you with the product servic or for process a claim we onli collect and process sensit person data where it is critic for the deliveri of a product or servic and without which the product or servic cannot be provid we will therefor not seek explicit consent to process this inform as the process is legitimis by it critic to the servic provis if you object to use of this inform then we will be unabl to offer you the product or servic request how do we use your person inform we will use your person inform to •,"Fair Processing Notice 
 the privacy and security of your information be important to we this notice explain who we be the type of information we 
 hold how we use it who we share it with and how long we keep it it also inform you of certain right you have regard your 
 personal information under current datum protection law the term use in this Fair Processing Notice relate to the Information 
 Commissioner ’s Office guidance 
 who be we 
 Arch Insurance Company UK   Limited which be part of the Arch Insurance group "" Arch "" arch be the Data Controller of the 
 information you provide we and be register with the Information Commissioner ’s Office for the product and service we 
 provide to you 
 you can contact we for general datum protection query by email to DPOarchinsurancecouk or in write to compliance 
 Team 5th Floor Plantation Place South 60 Great Tower Street London ec3r 5az please advise we of as much detail as 
 possible to comply with your request 
 what information do we collect 
 we will collect personal information which may include your name telephone number email address postal address 
 occupation date of birth additional detail of risk relate to your enquiry or product and payment detail include bank 
 account number and sort code which we need to offer and provide the service or product or deal with a claim 
 we may need to request and collect sensitive personal information such as detail of conviction or medical history that be 
 necessary for provide you with the product service or for process a claim 
 we only collect and process sensitive personal datum where it be critical for the delivery of a product or service and without 
 which the product or service can not be provide we will therefore not seek explicit consent to process this information as the 
 processing be legitimise by its criticality to the service provision if you object to use of this information then we will be unable 
 to offer you the product or service request 
 how do we use your personal information 
 we will use your personal information to 
 •"
"We make outbound phone calls for a variety of reasons relating to many of our products or services for example to update
you on the progress of a claim or to discuss renewal of your insurance contract We are fully committed to the regulations set
out by Ofcom and follow strict processes to ensure we comply with them
To ensure confidentiality and security of the information we hold we may need to request personal information and ask
security questions to satisfy ourselves that you are who you say you are
We may aggregate information and statistics on website usage or for developing new and existing products and services and
we may also provide this information to third parties These statistics will not include information that can be used to identify
any individual
Securing your personal information
We follow strict security procedures in the storage and disclosure of your personal information in line with industry practices
including storage in electronic and paper formats
We store all the information you provide to us including information provided via forms you may complete on our websites
and information which we may collect from your browsing such as clicks and page views on our websites
Any new information you provide us may be used to update an existing record we hold for you
When do we share your information
To help us prevent financial crime your details may be submitted to fraud prevention agencies and other organisations where
your records may be searched including the Claims and Underwriting Exchange CUE and the Motor Insurers AntiFraud and
Theft Register MIAFTR
In addition to companies within the Arch Insurance group third parties for example insurers or loss adjustors deliver some
of our products or provide all or part of the service requested by you In these instances while the information you provide will
be disclosed to these companies it will only be used for the provision and administration of the service provided for example
verification of any quote given to you or claims processing underwriting and pricing purposes or to maintain management
information for analysis
This may also include conducting a search with a credit reference bureau or contacting other firms involved in financial
management regarding payment
The data we collect about you may be transferred to and stored at a destination outside of the European Economic Area
“EEA” It may also be processed by staff operating outside of the EEA who work for us or for one of our suppliers Such staff
may be engaged in amongst other things the provision of information you have requested
If we provide information to a third party we will require it and any of its agents andor suppliers to take all steps reasonably
necessary to ensure that your data is treated securely and in accordance with this fair processing notice
We may of course be obliged by law to pass on your information to the police or other law enforcement body statutory
or regulatory authority including but not limited to the Employer’s Liability Tracing Office ELTO and the Motor Insurance
Bureau MIB
We may also share your information with anyone you have authorised to deal with us on your behalf",we make outbound phone call for a varieti of reason relat to mani of our product or servic for exampl to updat you on the progress of a claim or to discuss renew of your insur contract we are fulli commit to the regul set out by ofcom and follow strict process to ensur we compli with them to ensur confidenti and secur of the inform we hold we may need to request person inform and ask secur question to satisfi ourselv that you are who you say you are we may aggreg inform and statist on websit usag or for develop new and exist product and servic and we may also provid this inform to third parti these statist will not includ inform that can be use to identifi ani individu secur your person inform we follow strict secur procedur in the storag and disclosur of your person inform in line with industri practic includ storag in electron and paper format we store all the inform you provid to us includ inform provid via form you may complet on our websit and inform which we may collect from your brows such as click and page view on our websit ani new inform you provid us may be use to updat an exist record we hold for you when do we share your inform to help us prevent financi crime your detail may be submit to fraud prevent agenc and other organis where your record may be search includ the claim and underwrit exchang cue and the motor insur antifraud and theft regist miaftr in addit to compani within the arch insur group third parti for exampl insur or loss adjustor deliv some of our product or provid all or part of the servic request by you in these instanc while the inform you provid will be disclos to these compani it will onli be use for the provis and administr of the servic provid for exampl verif of ani quot given to you or claim process underwrit and price purpos or to maintain manag inform for analysi this may also includ conduct a search with a credit refer bureau or contact other firm involv in financi manag regard payment the data we collect about you may be transfer to and store at a destin outsid of the european econom area “eea” it may also be process by staff oper outsid of the eea who work for us or for one of our supplier such staff may be engag in amongst other thing the provis of inform you have request if we provid inform to a third parti we will requir it and ani of it agent andor supplier to take all step reason necessari to ensur that your data is treat secur and in accord with this fair process notic we may of cours be oblig by law to pass on your inform to the polic or other law enforc bodi statutori or regulatori author includ but not limit to the employ liabil trace offic elto and the motor insur bureau mib we may also share your inform with anyon you have authoris to deal with us on your behalf,"we make outbound phone call for a variety of reason relate to many of our product or service for example to update 
 you on the progress of a claim or to discuss renewal of your insurance contract we be fully committed to the regulation set 
 out by Ofcom and follow strict process to ensure we comply with they 
 to ensure confidentiality and security of the information we hold we may need to request personal information and ask 
 security question to satisfy ourselves that you be who you say you be 
 we may aggregate information and statistic on website usage or for develop new and exist product and service and 
 we may also provide this information to third party these statistic will not include information that can be use to identify 
 any individual 
 secure your personal information 
 we follow strict security procedure in the storage and disclosure of your personal information in line with industry practice 
 include storage in electronic and paper format 
 we store all the information you provide to we include information provide via form you may complete on our website 
 and information which we may collect from your browse such as click and page view on our website 
 any new information you provide we may be use to update an exist record we hold for you 
 when do we share your information 
 to help we prevent financial crime your detail may be submit to fraud prevention agency and other organisation where 
 your record may be search include the Claims and Underwriting Exchange CUE and the Motor Insurers AntiFraud and 
 Theft Register miaftr 
 in addition to company within the Arch Insurance group third party for example insurer or loss adjustor deliver some 
 of our product or provide all or part of the service request by you in these instance while the information you provide will 
 be disclose to these company it will only be use for the provision and administration of the service provide for example 
 verification of any quote give to you or claim process underwriting and pricing purpose or to maintain management 
 information for analysis 
 this may also include conduct a search with a credit reference bureau or contact other firm involve in financial 
 management regard payment 
 the datum we collect about you may be transfer to and store at a destination outside of the European Economic Area 
 "" EEA "" it may also be process by staff operate outside of the EEA who work for we or for one of our supplier such staff 
 may be engage in amongst other thing the provision of information you have request 
 if we provide information to a third party we will require it and any of its agent andor supplier to take all step reasonably 
 necessary to ensure that your datum be treat securely and in accordance with this fair processing notice 
 we may of course be oblige by law to pass on your information to the police or other law enforcement body statutory 
 or regulatory authority include but not limit to the Employer ’s Liability Tracing Office elto and the Motor Insurance 
 Bureau MIB 
 we may also share your information with anyone you have authorise to deal with we on your behalf"
"How long do we keep your information for
We will not keep your personal information longer than is necessary for the purpose for which it was provided unless we are
required by law or have other legitimate reasons to keep it for longer for example if necessary for any legal proceedings
We will normally keep information for no more than 6 years after termination or cancellation of a product contract or service
we provide In certain cases we will keep your information for longer particularly where a product includes liability insurances
or types of insurance for which a claim could potentially be made by you or a third party at a future date even after your
contract with us has ended
Your rights
Under data protection law you have the right to change or withdraw your consent and to request details of any personal data
that we hold about you
Where we have no legitimate reason to continue to hold your information you have the right to be forgotten
We may use automated decision making in processing your personal information for some services and products You can
request a manual review of the accuracy of an automated decision that you are unhappy with
Further details of your rights can be obtained by visiting our long form notice at
wwwarchcapgroupcomPrivacyandDataProtectionPolicy",how long do we keep your inform for we will not keep your person inform longer than is necessari for the purpos for which it was provid unless we are requir by law or have other legitim reason to keep it for longer for exampl if necessari for ani legal proceed we will normal keep inform for no more than 6 year after termin or cancel of a product contract or servic we provid in certain case we will keep your inform for longer particular where a product includ liabil insur or type of insur for which a claim could potenti be made by you or a third parti at a futur date even after your contract with us has end your right under data protect law you have the right to chang or withdraw your consent and to request detail of ani person data that we hold about you where we have no legitim reason to continu to hold your inform you have the right to be forgotten we may use autom decis make in process your person inform for some servic and product you can request a manual review of the accuraci of an autom decis that you are unhappi with further detail of your right can be obtain by visit our long form notic at wwwarchcapgroupcomprivacyanddataprotectionpolici,"how long do we keep your information for 
 we will not keep your personal information long than be necessary for the purpose for which it be provide unless we be 
 require by law or have other legitimate reason to keep it for long for example if necessary for any legal proceeding 
 we will normally keep information for no more than 6 year after termination or cancellation of a product contract or service 
 we provide in certain case we will keep your information for long particularly where a product include liability insurance 
 or type of insurance for which a claim could potentially be make by you or a third party at a future date even after your 
 contract with we have end 
 your right 
 under datum protection law you have the right to change or withdraw your consent and to request detail of any personal datum 
 that we hold about you 
 where we have no legitimate reason to continue to hold your information you have the right to be forget 
 we may use automate decision make in process your personal information for some service and product you can 
 request a manual review of the accuracy of an automate decision that you be unhappy with 
 further detail of your right can be obtain by visit our long form notice at 
 wwwarchcapgroupcomprivacyanddataprotectionpolicy"
"The Contract of Insurance and the Underwriters
This policy is underwritten by Arch Insurance Company UK Limited
In consideration of payment of the premium the liability of an Underwriter under this contract is several and not joint with other
insurers party to this contract to indemnify You within the limits terms conditions and exceptions of this Policy against the
events set out in the sections operative and occurring in connection with the Business during the Period of Insurance and any
subsequent period for which You pay and the Underwriter agrees to accept a premium
An Underwriter is not jointly liable for the proportion of liability underwritten by any other Underwriter Nor is an Underwriter
otherwise responsible for any liability of any other Underwriter that may underwrite this contract
Where the Underwriter is a Lloyd’s syndicate each member of the syndicate rather than the syndicate itself is an Underwriter
Each member has underwritten a proportion of the total shown for the syndicate that total itself being the total of the
proportions underwritten by all the members of the syndicate taken together The liability of each member of the syndicate
is several and not joint with other members A member is liable only for that members proportion A member is not jointly
liable for any other members proportion Nor is any member responsible for any liability of any other Underwriter that may
underwrite this contract The business address of each member is Lloyd’s One Lime street London EC3M 7HA The identity
of each member of a Lloyds syndicate and their respective proportion may be obtained by writing to Market Services at the
above address
Although reference is made at various points in this clause to “this contract” in the singular where circumstances so require
this should be read as a reference to contracts in the plural
Each Underwriter is only liable in respect of the cover or engineering inspection service provided under the Sections of this
Policy shown against them below and not any other section
Landlords’ Legal Expenses and",the contract of insur and the underwrit this polici is underwritten by arch insur compani uk limit in consider of payment of the premium the liabil of an underwrit under this contract is sever and not joint with other insur parti to this contract to indemnifi you within the limit term condit and except of this polici against the event set out in the section oper and occur in connect with the busi dure the period of insur and ani subsequ period for which you pay and the underwrit agre to accept a premium an underwrit is not joint liabl for the proport of liabil underwritten by ani other underwrit nor is an underwrit otherwis respons for ani liabil of ani other underwrit that may underwrit this contract where the underwrit is a lloyd syndic each member of the syndic rather than the syndic itself is an underwrit each member has underwritten a proport of the total shown for the syndic that total itself be the total of the proport underwritten by all the member of the syndic taken togeth the liabil of each member of the syndic is sever and not joint with other member a member is liabl onli for that member proport a member is not joint liabl for ani other member proport nor is ani member respons for ani liabil of ani other underwrit that may underwrit this contract the busi address of each member is lloyd one lime street london ec3m 7ha the ident of each member of a lloyd syndic and their respect proport may be obtain by write to market servic at the abov address although refer is made at various point in this claus to “this contract” in the singular where circumst so requir this should be read as a refer to contract in the plural each underwrit is onli liabl in respect of the cover or engin inspect servic provid under the section of this polici shown against them below and not ani other section landlord legal expens and,"the Contract of Insurance and the underwriter 
 this policy be underwrite by Arch Insurance Company UK Limited 
 in consideration of payment of the premium the liability of an Underwriter under this contract be several and not joint with other 
 insurer party to this contract to indemnify you within the limit term condition and exception of this policy against the 
 event set out in the section operative and occur in connection with the Business during the Period of Insurance and any 
 subsequent period for which you pay and the Underwriter agree to accept a premium 
 an Underwriter be not jointly liable for the proportion of liability underwrite by any other Underwriter nor be an Underwriter 
 otherwise responsible for any liability of any other Underwriter that may underwrite this contract 
 where the Underwriter be a Lloyd ’s syndicate each member of the syndicate rather than the syndicate itself be an Underwriter 
 each member have underwrite a proportion of the total show for the syndicate that total itself be the total of the 
 proportion underwrite by all the member of the syndicate take together the liability of each member of the syndicate 
 be several and not joint with other member a member be liable only for that member proportion a member be not jointly 
 liable for any other member proportion nor be any member responsible for any liability of any other Underwriter that may 
 underwrite this contract the business address of each member be Lloyd ’s one Lime street London EC3 M 7ha the identity 
 of each member of a Lloyds syndicate and their respective proportion may be obtain by write to Market Services at the 
 above address 
 although reference be make at various point in this clause to "" this contract "" in the singular where circumstance so require 
 this should be read as a reference to contract in the plural 
 each Underwriter be only liable in respect of the cover or engineering inspection service provide under the section of this 
 Policy show against they below and not any other section 
 landlord ' Legal expense and"
